item_tag	make_num	obtain_skill_point	recipe_category	material_tag	text_eng	fire	ice	bolt	air	materials	effects	reward_prm1	get_scenario_flag	unlock_scenario_flag	residue_cost_fire	residue_cost_ice	residue_cost_thunder	residue_cost_air	reward
ITEM_ATTACK_011	1	120	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_GAS_002', 'ITEM_WOOD_005', 'ITEM_CATEGORY_GAS', '']	Vision Luft	False	False	False	True	['Air Chime', 'Magnetized Trunk', '(Gases)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0071', 'effect_name': 'Spiral Blade'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0072', 'effect_name': 'Exorcising Breeze'}, {'max_lv': 3, 'effect_tag': 'ITEM_EFF_EFFECT_0073', 'effect_name': 'Tempestuous Gale'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 7, 9, 8, 10, 12, 9, 11, 13, 18]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_012	1	165	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_STONE_011', 'ITEM_MYSTIC_006', 'ITEM_CATEGORY_POISON', '']	Cursed Arche	False	True	False	False	['Deep Sea Stone', 'Fallen Star Piece', '(Poisons)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0074', 'effect_name': 'Blizzard Arrow'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0075', 'effect_name': 'Bowstring of Disorder'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0076', 'effect_name': 'Maintained Focus'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 6, 6, 7, 7, 7, 8, 9, 10, 10]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 7, 6, 8, 10, 7, 9, 11, 13, 15]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_013	1	165	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_ORE_009', 'ITEM_SAND_006', 'ITEM_CATEGORY_POWDER', '']	Endemeteo	True	False	False	False	['Meteorite Ore', 'Fallen Stardust', '(Gunpowder)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0077', 'effect_name': 'Firebolt Twincut'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0078', 'effect_name': 'Encircling Flamewall'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0079', 'effect_name': 'Dancing Flashbolt'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[7, 9, 8, 10, 12, 9, 11, 13, 15, 18]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 6, 6, 7, 7, 7, 8, 9, 10, 10]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_014	1	150	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_GAS_003', 'ITEM_MEDICAL_010', 'ITEM_CATEGORY_GAS', '']	Superior Grimoire	False	False	False	True	['Malevolent Wind', 'Panacea Flowers', '(Gases)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0080', 'effect_name': 'Magic Gale'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0081', 'effect_name': 'Binding Page'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0082', 'effect_name': 'Conduction Magic'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[6, 8, 9, 11, 13, 10, 12, 14, 16, 21]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_015	1	180	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_ORE_010', 'ITEM_FLOWER_015', 'ITEM_CATEGORY_MYSTIC', '']	Granshine	False	False	True	False	['Allmachtserz', 'Crescent Moon Jade', '(Magical)']	"[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0083', 'effect_name': 'Blessing of the Four Spirits'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0084', 'effect_name': 'Glimmering Swordplay'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0085', 'effect_name': ""Polar Star's Radiance""}]"	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[5, 10, 5, 7, 10, 5, 7, 10, 12, 15]	[5, 10, 5, 7, 10, 5, 7, 10, 12, 15]	[5, 10, 5, 7, 10, 5, 7, 10, 12, 15]	[5, 10, 5, 7, 10, 5, 7, 10, 12, 15]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_001	1	30	MIX_RECIPE_CATEGORY_HEAL	['ITEM_MEDICAL_003', 'ITEM_LIQUID_004', 'ITEM_CATEGORY_MEDICAL', '']	Woodland Remedy	False	False	False	True	['Tall Taun', 'Fresh Spring Water', '(Medicinal)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0006', 'effect_name': 'HP Recovery'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0024', 'effect_name': 'Max HP Up'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0022', 'effect_name': 'DEF Up'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	50	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 8, 11, 14, 17, 20, 8, 11, 14, 19]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_002	1	45	MIX_RECIPE_CATEGORY_HEAL	['ITEM_MEDICAL_004', 'ITEM_FOODSTUFF_004', 'ITEM_CATEGORY_PLANT', '']	Calming Harp	False	False	True	False	"[""Canary's Warble"", 'Ambrosial Fruit', '(Plants)']"	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0006', 'effect_name': 'HP Recovery'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0086', 'effect_name': 'Shorten Negative Effect Duration'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0087', 'effect_name': 'Extend Positive Effect Duration'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[2, 4, 6, 8, 10, 12, 3, 6, 7, 9]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[4, 6, 8, 0, 12, 14, 5, 7, 9, 12]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_003	1	90	MIX_RECIPE_CATEGORY_HEAL	['ITEM_ELIXIL_002', 'ITEM_FLOWER_008', 'ITEM_CATEGORY_MEDICAL', '']	Revival Bouquet	True	False	False	False	['Rubellum Lily', 'Celestial Rose', '(Medicinal)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0088', 'effect_name': 'Revitalizing Bloom'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0089', 'effect_name': 'Oath of Protection'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0018', 'effect_name': 'HP Regeneration'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[4, 6, 8, 10, 12, 7, 9, 11, 8, 13]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_004	1	60	MIX_RECIPE_CATEGORY_HEAL	['ITEM_MEDICAL_005', 'ITEM_MEDICAL_006', 'ITEM_CATEGORY_LIQUID', '']	Bitter Syrup	False	False	False	True	['Alluring Dew', 'Smoky Perfume', '(Water)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0091', 'effect_name': 'Medicinal Efficacy'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0007', 'effect_name': 'Stun Recovery'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0023', 'effect_name': 'SPD Up'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[4, 6, 8, 10, 12, 7, 9, 11, 8, 13]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_005	1	75	MIX_RECIPE_CATEGORY_HEAL	['ITEM_UNI_002', 'ITEM_MUSHROOM_002', 'ITEM_CATEGORY_MYSTIC', '']	Warding Sunny	False	True	False	False	['Smoldering Uni', 'Onmbrella', '(Magical)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0092', 'effect_name': 'Fair Weather Field'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0093', 'effect_name': 'Illuminating Sunlight'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0024', 'effect_name': 'Max HP Up'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[6, 9, 12, 15, 18, 9, 12, 15, 10, 15]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_006	1	120	MIX_RECIPE_CATEGORY_HEAL	['ITEM_SAND_004', 'ITEM_MYSTIC_002', 'ITEM_CATEGORY_MEDICAL', '']	Panacea Sphere	False	False	True	False	['Harmonic Sand', 'Diamond Chunk', '(Medicinal)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0094', 'effect_name': 'Project the Ideal'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0095', 'effect_name': 'Fluttering Petal Rain'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0096', 'effect_name': 'Reduce Cooldown'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7, 10, 13, 10, 13, 16, 11, 14, 17, 22]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_007	1	105	MIX_RECIPE_CATEGORY_HEAL	['ITEM_MUSHROOM_008', 'ITEM_MEDICAL_007', 'ITEM_CATEGORY_GAS', '']	Healing Parasol	False	True	False	False	['Argent Tarp', 'Dry Incense', '(Gases)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0097', 'effect_name': 'Blessed Rain'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0098', 'effect_name': 'Dispel Malice'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0099', 'effect_name': 'Consecutive Activation'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 7, 9, 8, 10, 12, 9, 11, 13, 18]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_008	1	135	MIX_RECIPE_CATEGORY_HEAL	['ITEM_FISH_013', 'ITEM_ANIMAL_013', 'ITEM_CATEGORY_METAL', '']	Re-Energizing Gear	True	False	False	False	['Conductive Crab', 'Golem Core', '(Metal)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0100', 'effect_name': 'Perpetual Gears'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0101', 'effect_name': 'Reconstruction'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0102', 'effect_name': 'Replenish Power'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[8, 11, 11, 14, 17, 12, 15, 18, 21, 26]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_HEAL_009	1	165	MIX_RECIPE_CATEGORY_HEAL	['ITEM_LIQUID_010', 'ITEM_MEDICAL_009', 'ITEM_CATEGORY_JEWEL', '']	Heavenly Armillary	False	False	True	False	['Tranquil Spirit Water', 'Medicinal Sap', '(Jewels)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0103', 'effect_name': 'Celestial Guidance'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0104', 'effect_name': 'Emancipating Wings'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0105', 'effect_name': 'Automatic Reboot'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[6, 8, 9, 11, 13, 10, 12, 14, 16, 21]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
