item_id	text_eng	desc_eng	desc2_eng	text_jpn	desc_jpn	desc2_jpn	text_chs	desc_chs	desc2_chs	text_cht	desc_cht	desc2_cht	text_deu	desc_deu	desc2_deu	text_fra	desc_fra	desc2_fra	text_kor	desc_kor	desc2_kor	text_rus	desc_rus	desc2_rus	text_spa	desc_spa	desc2_spa	imageNo	min_rarity	max_level	wep	arm	acc	atk	heal	supEne	supPar	grade_min_value	grade_max_value	lv_min_rand_range_min	lv_min_rand_range_max	lv_max_rand_range_min	lv_max_rand_range_max	trait_base	hash	item_trait_table_tag	fire	ice	bolt	air	no_level	combo_1	combo_2	combo_3	combo_4	disp_flag
ITEM_TRAIT_TRAIT_011	Reduce Cooldown	Reduces item cooldowns by -1 second(s).		CT短縮	アイテム使用時のクールタイムが -1秒 短縮		冷却时间缩短	使用道具时的冷却时间缩短-1秒。		冷卻時間縮短	使用道具時的冷卻時間縮短-1秒。		Reduziert AZ	Verringert die Abklingzeit der Gegenstände um -1 Sekunde(n).		Réduction TdR	Réduit les temps de rechargement de l'objet de -1 seconde(s).		CT 단축	아이템 사용 시의 쿨타임이-1s 단축된다		Сокращение перезарядки	Сокращает перезарядку предметов на -1 сек.		Reducir TR	Reduce en -1 segundo(s) la reutilización de los objetos.		1402	2	1				True	True	True	True	4	9	[-1, 0, 0, 0]	[-1, 0, 0, 0]	[-1, 0, 0, 0]	[-1, 0, 0, 0]	['ITEM_SUB_ITM_CHANGE_CT', '', '', '']	['', '', '', '']	7			True		True					1
ITEM_TRAIT_TRAIT_012	Item Use Count Up	Increases item uses by 1.		アイテム使用回数増加	アイテム使用回数が 1回 増加		道具使用次数增加	道具使用次数增加1次。		道具使用次數增加	道具使用次數增加1次。		Verwendungsanzahl von Gegenständen erhöhen	Erhöht die Anzahl möglicher Anwendungen von Gegenständen um 1.		Aug. du nb. d'utilisations d'objet	Augmente le nombre d'utilisations de l'objet de 1.		아이템 사용횟수 증가	아이템 사용횟수가 1회 증가한다		Больше использований предмета	Увеличивает число использований предмета на 1.		Más usos de objeto	Aumenta los usos de un objeto en Nv. x1.		1402	2	1				True	True	True	True	4	4	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	['ITEM_SUB_ITM_NUMBER_OF_USES', '', '', '']	['', '', '', '']	3				True	True					1
ITEM_TRAIT_TRAIT_013	Critical Damage Up	Increases critical damage by [Rank x 10]%.		会心ダメージ増加	会心ダメージ倍率が RANK×10％ 増加		暴击伤害增加	暴击伤害倍率增加 RANK×10%。		重擊傷害增加	重擊傷害倍率增加 RANK×10%。		Kritische-Schadens-Reduzierung	Erhöht kritischen Schaden um [Rang x 10] %.		Aug. des dégâts critiques	Augmente les dégâts critiques de [Rang x 10] %.		회심 대미지 증가	회심 대미지 배율이 RANK×10% 증가한다		Выше критический урон	Повышает критический урон на [ранг х 10]%.		Más daño crítico	Aumenta un [Rango x10] % el daño de los golpes críticos.		1402	0	6				True	True	True	True	3	8	[10, 0, 0, 0]	[10, 0, 0, 0]	[60, 0, 0, 0]	[60, 0, 0, 0]	['ITEM_SUB_ITM_ADD_CRITICAL_DAMAGE', '', '', '']	['', '', '', '']	2			True							1
ITEM_TRAIT_TRAIT_014	Inner Range Boost	Boosts the item's power by [Rank x 10]% when used in the inner range.		インレンジ強化	インレンジでアイテムを使用すると威力値が RANK×10％ 上昇		近距离强化	近距离使用道具时，威力值提升 RANK×10%。		近距離強化	近距離使用道具時，威力值上升 RANK×10%。		Verbesserung der inneren Reichweite	Erhöht die Stärke des Gegenstands um [Rang x 10] %, während er in der inneren Reichweite verwendet wird.		Boost de courte portée	Améliore la puissance de l'objet de [Rang x 10] % en cas d'utilisation à courte portée.		근거리 강화	근거리에서 아이템을 사용하면위력치가 RANK×10% 상승한다		Усилитель ближнего расстояния	Увеличивает мощь предмета на [ранг x 10]% при использовании на ближнем расстоянии.		Potenciador de alcance cercano	Aumenta un [Rango x 10] % la potencia del objeto cuando se usa en el alcance cercano.		1402	0	6				True	True	True	True	4	9	[10, 0, 0, 0]	[10, 0, 0, 0]	[60, 0, 0, 0]	[60, 0, 0, 0]	['ITEM_SUB_ITM_CHANGE_POWER_IN', '', '', '']	['', '', '', '']	3	True									1
ITEM_TRAIT_TRAIT_015	Outer Range Boost	Boosts the item's power by [Rank x 10]% when used in the outer range.		アウトレンジ強化	アウトレンジでアイテムを使用すると威力値 RANK×10％ 上昇		远距离强化	远距离使用道具时，威力值提升 RANK×10%。		遠距離強化	遠距離使用道具時，威力值上升 RANK×10%。		Verbesserung der äußeren Reichweite	Erhöht die Stärke des Gegenstands um [Rang x 10] %, während er in der äußeren Reichweite verwendet wird.		Boost de longue portée	Améliore la puissance de l'objet de [Rang x 10] % en cas d'utilisation à longue portée.		원거리 강화	원거리에서 아이템을 사용하면위력치가 RANK×10% 상승한다		Усилитель дальнего расстояния	Увеличивает мощь предмета на [ранг x 10]% при использовании на дальнем расстоянии.		Potenciador de alcance exterior	Aumenta un [Rango x 10] % la potencia del objeto cuando se usa en el alcance exterior.		1402	0	6				True	True	True	True	4	9	[10, 0, 0, 0]	[10, 0, 0, 0]	[60, 0, 0, 0]	[60, 0, 0, 0]	['ITEM_SUB_ITM_CHANGE_POWER_OUT', '', '', '']	['', '', '', '']	3		True								1
ITEM_TRAIT_TRAIT_016	Restore HP	Restores target's HP by [Rank x 10]%.		HP回復	アイテム使用時に対象者のHPが RANK×10％ 回復		HP恢复	使用道具时，目标的HP恢复 RANK×10%。		回復HP	使用道具時，目標的HP回復 RANK×10%。		LP-Wiederherstellung	Stellt die LP des Ziels um [Rang x 10] % wieder her.		Restaure les PV	Restaure les PV de la cible de [Rang x 10] %.		HP 회복	아이템 사용 시대상자의 HP가 RANK×10% 회복한다		Восстановление ОЗ	Восстанавливает у цели [ранг x 10]% ОЗ.		Recuperar PS	Aumenta un [Rango x10] % los PS del objetivo.		1402	0	6					True		True	3	8	[10, 0, 0, 0]	[10, 0, 0, 0]	[60, 0, 0, 0]	[60, 0, 0, 0]	['ITEM_SUB_ITM_HEAL_HP_RATIO', '', '', '']	['', '', '', '']	2				True						1
ITEM_TRAIT_TRAIT_017	Follow-Up Fire Damage	Deals [Rank x 5] power fire damage.		火ダメージ追撃	アイテム使用時に RANK×5 の威力値で火属性のダメージを与える		火伤害追击	使用道具时，造成威力值为 RANK×5 的火属性伤害。		火傷害追擊	使用道具時，給予威力值為 RANK×5 的火屬性傷害。		Folge-Feuerschaden	Fügt Feuerschaden mit Stärke [Rang x 5] zu.		Dégâts de feu supplémentaires	Inflige des dégâts de feu de puissance [Rang x 5]		화 대미지 추격	아이템 사용 시RANK×5의 위력치로 화속성 대미지를 준다		Последующий урон огнем	Наносит урон огнем мощью [ранг x 5].		Daño de fuego encadenado	Inflige daño de fuego de potencia [Rango x5].		1402	0	6				True				3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_ATT_DAMAGE', '', '', '']	['ATT_FIRE', '', '', '']	62	True									1
ITEM_TRAIT_TRAIT_018	Follow-Up Ice Damage	Deals [Rank x 5] power ice damage.		氷ダメージ追撃	アイテム使用時に RANK×5 の威力値で氷属性のダメージを与える		冰伤害追击	使用道具时，造成威力值为 RANK×5 的冰属性伤害。		冰傷害追擊	使用道具時，給予威力值為 RANK×5 的冰屬性傷害。		Folge-Eisschaden	Fügt Eisschaden mit Stärke [Rang x 5] zu.		Dégâts de glace supplémentaires	Inflige des dégâts de glace de puissance [Rang x 5]		빙 대미지 추격	아이템 사용 시RANK×5의 위력치로 빙속성 대미지를 준다		Последующий урон льдом	Наносит урон льдом мощью [ранг x 5].		Daño de hielo encadenado	Inflige daño de hielo de potencia [Rango x5].		1402	0	6				True				3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_ATT_DAMAGE', '', '', '']	['ATT_ICE', '', '', '']	62		True								1
ITEM_TRAIT_TRAIT_019	Follow-Up Bolt Damage	Deals [Rank x 5] power bolt damage.		雷ダメージ追撃	アイテム使用時に RANK×5 の威力値で雷属性のダメージを与える		雷伤害追击	使用道具时，造成威力值为 RANK×5 的雷属性伤害。		雷傷害追擊	使用道具時，給予威力值為 RANK×5 的雷屬性傷害。		Folge-Elektroschaden	Fügt Elektroschaden mit Stärke [Rang x 5] zu.		Dégâts de foudre supplémentaires	Inflige des dégâts de foudre de puissance [Rang x 5]		뇌 대미지 추격	아이템 사용 시RANK×5의 위력치로 뇌속성 대미지를 준다		Последующий урон молнией	Наносит урон молнией мощью [ранг x 5].		Daño de rayo encadenado	Inflige daño de rayo de potencia [Rango x5].		1402	0	6				True				3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_ATT_DAMAGE', '', '', '']	['ATT_THUN', '', '', '']	62			True							1
ITEM_TRAIT_TRAIT_020	Follow-Up Air Damage	Deals [Rank x 5] power air damage.		風ダメージ追撃	アイテム使用時に RANK×5 の威力値で風属性のダメージを与える		风伤害追击	使用道具时，造成威力值为 RANK×5 的风属性伤害。		風傷害追擊	使用道具時，給予威力值為 RANK×5 的風屬性傷害。		Folge-Luftschaden	Fügt Luftschaden mit Stärke [Rang x 5] zu.		Dégâts d'air supplémentaires	Inflige des dégâts d'air de puissance [Rang x 5]		풍 대미지 추격	아이템 사용 시RANK×5의 위력치로 풍속성 대미지를 준다		Последующий урон воздухом	Наносит урон воздухом мощью [ранг x 5].		Daño de aire encadenado	Inflige daño de aire de potencia [Rango x5].		1402	0	6				True				3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_ATT_DAMAGE', '', '', '']	['ATT_WIND', '', '', '']	62				True						1
ITEM_TRAIT_TRAIT_021	Inflict Poison	Grants a [Rank x 5]% chance to inflict Poison on the target.		毒付与	アイテム使用時に RANK×5％ の確率で対象に毒を付与する		赋予中毒	使用道具时，有 RANK×5% 的概率赋予目标中毒。		賦予中毒	使用道具時，有 RANK×5% 的機率賦予目標中毒。		Gift zufügen	Gewährt eine Chance von [Rang x 5] %, dem Ziel Gift zuzufügen.		Inflige Poison	Octroie [Rang x 5] % de chances d'infliger Poison à la cible.		독 부여	아이템 사용 시 RANK×5%의 확률로대상에게 독을 부여한다		Наложить отравление	Дает шанс [ранг x 5]% наложить на цель отравление.		Infligir Veneno	Otorga un [Rango x5] % de probabilidad de infligir Veneno al objetivo.		1402	0	6				True		True		4	9	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_BAD_STATUS', '', '', '']	['STATUS_BAD_POISON', '', '', '']	4				True						1
ITEM_TRAIT_TRAIT_022	Inflict Sleep	Grants a [Rank x 5]% chance to inflict Sleep on the target.		睡眠付与	アイテム使用時に RANK×5％ の確率で対象に睡眠を付与する		赋予睡眠	使用道具时，有 RANK×5% 的概率赋予目标睡眠。		賦予睡眠	使用道具時，有 RANK×5% 的機率賦予目標睡眠。		Schlafen zufügen	Gewährt eine Chance von [Rang x 5] %, dem Ziel Schlafen zuzufügen.		Inflige Sommeil	Octroie [Rang x 5] % de chances d'infliger Sommeil à la cible.		수면 부여	아이템 사용 시 RANK×5%의 확률로대상에게 수면을 부여한다		Наложить сон	Дает шанс [ранг x 5]% наложить на цель сон.		Infligir Sueño	Otorga un [Rango x5] % de probabilidad de infligir Sueño objetivo.		1402	0	6				True		True		4	9	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_BAD_STATUS', '', '', '']	['STATUS_BAD_SLEEP', '', '', '']	4		True								1
ITEM_TRAIT_TRAIT_023	Inflict Burns	Grants a [Rank x 5]% chance to inflict Burns on the target.		火傷付与	アイテム使用時に RANK×5％ の確率で対象に火傷を付与する		赋予火伤	使用道具时，有 RANK×5% 的概率赋予目标火伤。		賦予燒傷	使用道具時，有 RANK×5% 的機率賦予目標燒傷。		Verbrennungen zufügen	Gewährt eine Chance von [Rang x 5] %, dem Ziel Verbrennungen zuzufügen.		Inflige Brûlures	Octroie [Rang x 5] % de chances d'infliger Brûlures à la cible.		화상 부여	아이템 사용 시 RANK×5%의 확률로대상에게 화상을 부여한다		Наложить ожог	Дает шанс [ранг x 5]% наложить на цель ожог.		Infligir Quemaduras	Otorga un [Rango x5] % de probabilidad de infligir Quemaduras al objetivo.		1402	0	6				True		True		4	9	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_BAD_STATUS', '', '', '']	['STATUS_BAD_HEAT', '', '', '']	4	True									1
ITEM_TRAIT_TRAIT_024	Inflict Paralysis	Grants a [Rank x 5]% chance to inflict Paralysis on the target.		麻痺付与	アイテム使用時に RANK×5％ の確率で対象に麻痺を付与する		赋予麻痹	使用道具时，有 RANK×5% 的概率赋予目标麻痹。		賦予麻痺	使用道具時，有 RANK×5% 的機率賦予目標麻痺。		Lähmung zufügen	Gewährt eine Chance von [Rang x 5] %, dem Ziel Lähmung zuzufügen.		Inflige Paralysie	Octroie [Rang x 5] % de chances d'infliger Paralysie à la cible.		마비 부여	아이템 사용 시 RANK×5%의 확률로대상에게 마비를 부여한다		Наложить паралич	Дает шанс [ранг x 5]% наложить на цель паралич.		Infligir Parálisis	Otorga un [Rango x5] % de probabilidad de infligir Parálisis al objetivo.		1402	0	6				True		True		4	9	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_BAD_STATUS', '', '', '']	['STATUS_BAD_PARALYSIS', '', '', '']	4			True							1
ITEM_TRAIT_TRAIT_025	Inflict Restraints	Grants a [Rank x 5]% chance to inflict Restraints on the target.		束縛付与	アイテム使用時に RANK×5％ の確率で対象に束縛を付与する		赋予束缚	使用道具时，有 RANK×5% 的概率赋予目标束缚。		賦予束縛	使用道具時，有 RANK×5% 的機率賦予目標束縛。		Fesselung zufügen	Gewährt eine Chance von [Rang x 5] %, dem Ziel Fesselung zuzufügen.		Inflige Entraves	Octroie [Rang x 5] % de chances d'infliger Entraves à la cible.		속박 부여	아이템 사용 시 RANK×5%의 확률로대상에게 속박을 부여한다		Наложить путы	Дает шанс [ранг x 5]% наложить на цель путы.		Infligir Ataduras	Otorga un [Rango x5] % de probabilidad de infligir Ataduras al objetivo.		1402	0	6				True		True		4	9	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_BAD_STATUS', '', '', '']	['STATUS_BAD_SNARE', '', '', '']	5				True						1
ITEM_TRAIT_TRAIT_026	Inflict Frostbite	Grants a [Rank x 5]% chance to inflict Frostbite on the target.		凍傷付与	アイテム使用時に RANK×5％ の確率で対象に凍傷を付与する		赋予冻伤	使用道具时，有 RANK×5% 的概率赋予目标冻伤。		賦予凍傷	使用道具時，有 RANK×5% 的機率賦予目標凍傷。		Frostbeule zufügen	Gewährt eine Chance von [Rang x 5] %, dem Ziel Frostbeulen zuzufügen.		Inflige Gelures	Octroie [Rang x 5] % de chances d'infliger Gelures à la cible.		동상 부여	아이템 사용 시 RANK×5%의 확률로대상에게 동상을 부여한다		Наложить обморожение	Дает шанс [ранг x 5]% наложить на цель обморожение.		Infligir Congelación	Otorga un [Rango x5] % de probabilidad de infligir Congelación al objetivo.		1402	0	6				True		True		4	9	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_BAD_STATUS', '', '', '']	['STATUS_BAD_FROSTBITE', '', '', '']	5		True								1
ITEM_TRAIT_TRAIT_027	Inflict Curse	Grants a [Rank x 5]% chance to inflict Curse on the target.		呪い付与	アイテム使用時に RANK×5％ の確率で対象に呪いを付与する		赋予诅咒	使用道具时，有 RANK×5% 的概率赋予目标诅咒。		賦予詛咒	使用道具時，有 RANK×5% 的機率賦予目標詛咒。		Fluch zufügen	Gewährt eine Chance von [Rang x 5] %, dem Ziel Fluch zuzufügen.		Inflige Malédiction	Octroie [Rang x 5] % de chances d'infliger Malédiction à la cible.		저주 부여	아이템 사용 시 RANK×5%의 확률로대상에게 저주를 부여한다		Наложить проклятие	Дает шанс [ранг x 5]% наложить на цель проклятие.		Infligir Maldición	Otorga un [Rango x5] % de probabilidad de infligir Maldición al objetivo.		1402	0	6				True		True		4	9	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_BAD_STATUS', '', '', '']	['STATUS_BAD_CURSE', '', '', '']	5	True									1
ITEM_TRAIT_TRAIT_028	Poison Cure	Cures Poison.		毒治癒	アイテム使用時に、対象の毒を治療		治疗中毒	使用道具时，治疗目标的中毒。		治療中毒	使用道具時，治療目標的中毒。		Gift-Heilung	Heilt Gift.		Guérison de Poison	Guérit Poison.		독 치유	아이템 사용 시, 대상의 독을 치료한다		Излечение отравления	Лечит отравление.		Antídoto	Cura el veneno.		1402	1	1					True		True	3	3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_ITM_CURE_STATUS', '', '', '']	['STATUS_BAD_POISON', '', '', '']	4				True	True					1
ITEM_TRAIT_TRAIT_029	Sleep Cure	Cures Sleep.		睡眠治癒	アイテム使用時に、対象の睡眠を治療		治疗睡眠	使用道具时，治疗目标的睡眠。		治療睡眠	使用道具時，治療目標的睡眠。		Schlaf-Heilung	Heilt Schlafen.		Guérison de Sommeil	Guérit Sommeil.		수면 치유	아이템 사용 시, 대상의 수면을 치료한다		Излечение сна	Лечит сон.		Despertar	Cura el sueño.		1402	1	1					True		True	3	3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_ITM_CURE_STATUS', '', '', '']	['STATUS_BAD_SLEEP', '', '', '']	4		True			True					1
ITEM_TRAIT_TRAIT_030	Burns Cure	Cures Burns.		火傷治癒	アイテム使用時に、対象の火傷を治療		治疗火伤	使用道具时，治疗目标的火伤。		治療燒傷	使用道具時，治療目標的燒傷。		Verbrennungs-Heilung	Heilt Verbrennungen.		Guérison de Brûlures	Guérit Brûlures.		화상 치유	아이템 사용 시, 대상의 화상을 치료한다		Излечение ожога	Лечит ожоги.		Antiquemaduras	Cura las quemaduras.		1402	1	1					True		True	3	3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	['ITEM_SUB_ITM_CURE_STATUS', '', '', '']	['STATUS_BAD_HEAT', '', '', '']	4	True				True					1
