fieldmap_location_id	text_eng	text_jpn	text_chs	text_cht	text_deu	text_fra	text_kor	text_rus	text_spa
FIELDMAP_LOCATION_010	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_011	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_012	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_013	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_014	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_015	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_016	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_017	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_018	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_019	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_020	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_021	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_022	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_023	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_024	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_025	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_026	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_027	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_028	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_029	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_030	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_031	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_032	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_033	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_034	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_035	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_036	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_037	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_038	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_039	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_040	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_041	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_042	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_043	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_044	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_045	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_046	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_047	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_048	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_049	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_050	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_051	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_052	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_053	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_054	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_055	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_056	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_057	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_058	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_059	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_060	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_061	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_062	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_063	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_064	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_065	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_066	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_067	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_068	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_069	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_070	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_071	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_072	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_073	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_074	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_075	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_076	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_077	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_078	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_079	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_080	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_081	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_082	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_083	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_084	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_085	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_086	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_087	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_088	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_089	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_090	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_091	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_092	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_093	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_094	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_095	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_096	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_097	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_098	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_099	Shrine of Prayer	祈念の社	祈愿神庙	祈願神廟	Gebetsschrein	Temple de prière	기원의 사당	Молитвенный храм	Santuario del Rezo
FIELDMAP_LOCATION_100	Dux Lighthouse	ドゥクス大灯台	杜克斯大灯塔	杜克斯大燈塔	Dux-Leuchtturm	Phare cacique	둑스 거대 등대	Главный маяк	Faro Dux
FIELDMAP_LOCATION_101	8th Imperial Laboratory	帝国第八研究所	帝国第八研究所	帝國第八研究所	8. kaiserliches Laboratorium	8e laboratoire impérial	제국 제8연구소	8-я имперская лаборатория	Laboratorio imperial núm. 8
