id	quest_name	extra	reward
EXPLORATION_REWARD_METAL_04	"{'text_eng': 'Auruma Region', 'text_jpn': 'アウルーマ地方', 'text_chs': '奥尔马地区', 'text_cht': '奧爾馬地區', 'text_deu': 'Auruma-Gefilde', 'text_fra': ""Région d'Auruma"", 'text_kor': '아울루마 지방', 'text_rus': 'Регион Аурума', 'text_spa': 'Región de Auruma'}"	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_19'}
EXPLORATION_REWARD_METAL_06	"{'text_eng': 'Auruma Region', 'text_jpn': 'アウルーマ地方', 'text_chs': '奥尔马地区', 'text_cht': '奧爾馬地區', 'text_deu': 'Auruma-Gefilde', 'text_fra': ""Région d'Auruma"", 'text_kor': '아울루마 지방', 'text_rus': 'Регион Аурума', 'text_spa': 'Región de Auruma'}"	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_11'}
NORMAL_QUEST_PET_02	{'text_eng': 'Pet Finder 3', 'text_jpn': 'ペットを探しています３', 'text_chs': '寻找爱宠 3', 'text_cht': '尋寵行動 3', 'text_deu': 'Auf Haustier-Suche 3', 'text_fra': 'Dénicheuse de familiers 3', 'text_kor': '애완동물 찾는 중3', 'text_rus': 'Поиски питомцев 3', 'text_spa': '¡A buscar mascotas! 3'}		{'reward': 'ITEM_CRAFT_21'}
NORMAL_QUEST_GOURMET_01	{'text_eng': 'Gourmet Travel Log 2', 'text_jpn': 'グルメ紀行２', 'text_chs': '美食游记 2', 'text_cht': '珍饈遊記 2', 'text_deu': 'Delikatessen-Reiseführer 2', 'text_fra': 'Carnet de voyage gourmet 2', 'text_kor': '미식 기행2', 'text_rus': 'Дневник путешествия гурмана 2', 'text_spa': 'Cuaderno de viajes gourmet 2'}		{'reward': 'ITEM_CRAFT_13'}
NORMAL_QUEST_GOURMET_02	{'text_eng': 'Gourmet Travel Log 3', 'text_jpn': 'グルメ紀行３', 'text_chs': '美食游记 3', 'text_cht': '珍饈遊記 3', 'text_deu': 'Delikatessen-Reiseführer 3', 'text_fra': 'Carnet de voyage gourmet 3', 'text_kor': '미식 기행3', 'text_rus': 'Дневник путешествия гурмана 3', 'text_spa': 'Cuaderno de viajes gourmet 3'}		{'reward': 'ITEM_CRAFT_14'}
MAIN_QUEST_P_01_020	{'text_eng': 'Village That Lives with Spirits 2', 'text_jpn': '精霊と共に暮らす村２', 'text_chs': '与精灵共生的村落 2', 'text_cht': '與精靈共生之村 2', 'text_deu': 'Das Dorf, das mit Geistern lebt 2', 'text_fra': 'Le village aux esprits\xa02', 'text_kor': '정령과 사는 마을2', 'text_rus': 'Деревня, живущая в гармонии с духами 2', 'text_spa': 'Aldea donde habitan los espíritus\xa02'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_CRAFT_01'}
MAIN_QUEST_P_01_040	{'text_eng': 'Fishing Village Ruins Discovery', 'text_jpn': '漁村跡地の発見', 'text_chs': '发现渔村遗址', 'text_cht': '發現漁村遺址', 'text_deu': 'Ruinen eines Fischerdorfes', 'text_fra': 'Découverte des ruines du village de pêche', 'text_kor': '어촌 터 발견', 'text_rus': 'Руины рыбацкой деревни', 'text_spa': 'Ruinas de una aldea pesquera'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_CRAFT_04'}
MAIN_QUEST_P_01_080	{'text_eng': 'Fishing Village Restoration', 'text_jpn': '漁村の復旧', 'text_chs': '重建渔村', 'text_cht': '重建漁村', 'text_deu': 'Wiederherstellung des Fischerdorfes', 'text_fra': 'Restauration du village de pêche', 'text_kor': '어촌 복구', 'text_rus': 'Восстановление рыбацкой деревни', 'text_spa': 'Restauración de la aldea pesquera'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_217'}
MAIN_QUEST_P_01_081	{'text_eng': 'Fishing Village Restoration', 'text_jpn': '漁村の復旧', 'text_chs': '重建渔村', 'text_cht': '重建漁村', 'text_deu': 'Wiederherstellung des Fischerdorfes', 'text_fra': 'Restauration du village de pêche', 'text_kor': '어촌 복구', 'text_rus': 'Восстановление рыбацкой деревни', 'text_spa': 'Restauración de la aldea pesquera'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_217'}
MAIN_QUEST_P_01_082	{'text_eng': 'Fishing Village Restoration', 'text_jpn': '漁村の復旧', 'text_chs': '重建渔村', 'text_cht': '重建漁村', 'text_deu': 'Wiederherstellung des Fischerdorfes', 'text_fra': 'Restauration du village de pêche', 'text_kor': '어촌 복구', 'text_rus': 'Восстановление рыбацкой деревни', 'text_spa': 'Restauración de la aldea pesquera'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_217'}
MAIN_QUEST_P_02_050	{'text_eng': 'The Mystery of the Alber', 'text_jpn': 'アルバーの謎', 'text_chs': '阿尔巴的谜团', 'text_cht': '阿爾巴的謎團', 'text_deu': 'Das Mysterium der Alber', 'text_fra': 'Le mystère des Alber', 'text_kor': '알버의 수수께끼', 'text_rus': 'Тайна альберов', 'text_spa': 'El misterio Alber'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_CRAFT_03'}
MAIN_QUEST_P_02_051	{'text_eng': 'The Mystery of the Alber', 'text_jpn': 'アルバーの謎', 'text_chs': '阿尔巴的谜团', 'text_cht': '阿爾巴的謎團', 'text_deu': 'Das Mysterium der Alber', 'text_fra': 'Le mystère des Alber', 'text_kor': '알버의 수수께끼', 'text_rus': 'Тайна альберов', 'text_spa': 'El misterio Alber'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_CRAFT_03'}
MAIN_QUEST_P_02_052	{'text_eng': 'The Mystery of the Alber', 'text_jpn': 'アルバーの謎', 'text_chs': '阿尔巴的谜团', 'text_cht': '阿爾巴的謎團', 'text_deu': 'Das Mysterium der Alber', 'text_fra': 'Le mystère des Alber', 'text_kor': '알버의 수수께끼', 'text_rus': 'Тайна альберов', 'text_spa': 'El misterio Alber'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_CRAFT_03'}
MAIN_QUEST_P_02_070	{'text_eng': 'The Fake Harvest Project', 'text_jpn': '偽りの『豊穣計画』', 'text_chs': '伪造的“丰收计划”', 'text_cht': '偽造的「豐收計畫」', 'text_deu': 'Die Lüge über das Ernte-Projekt', 'text_fra': 'Le faux projet Récolte', 'text_kor': '가짜 『풍요계획』', 'text_rus': 'Подложный проект «Изобилие»', 'text_spa': 'El falso proyecto Cultivo'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_221'}
MAIN_QUEST_P_02_071	{'text_eng': 'The Fake Harvest Project', 'text_jpn': '偽りの『豊穣計画』', 'text_chs': '伪造的“丰收计划”', 'text_cht': '偽造的「豐收計畫」', 'text_deu': 'Die Lüge über das Ernte-Projekt', 'text_fra': 'Le faux projet Récolte', 'text_kor': '가짜 『풍요계획』', 'text_rus': 'Подложный проект «Изобилие»', 'text_spa': 'El falso proyecto Cultivo'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_221'}
MAIN_QUEST_P_02_072	{'text_eng': 'The Fake Harvest Project', 'text_jpn': '偽りの『豊穣計画』', 'text_chs': '伪造的“丰收计划”', 'text_cht': '偽造的「豐收計畫」', 'text_deu': 'Die Lüge über das Ernte-Projekt', 'text_fra': 'Le faux projet Récolte', 'text_kor': '가짜 『풍요계획』', 'text_rus': 'Подложный проект «Изобилие»', 'text_spa': 'El falso proyecto Cultivo'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_221'}
MAIN_QUEST_P_03_020	{'text_eng': 'In Search of Relaxation', 'text_jpn': '癒しを求めて', 'text_chs': '寻求治愈', 'text_cht': '尋求療癒', 'text_deu': 'Auf der Suche nach Erholung', 'text_fra': 'Recherche de bien-être', 'text_kor': '힐링을 위해', 'text_rus': 'В поисках отдыха', 'text_spa': 'En busca de la relajación'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_220'}
MAIN_QUEST_P_03_021	{'text_eng': 'In Search of Relaxation', 'text_jpn': '癒しを求めて', 'text_chs': '寻求治愈', 'text_cht': '尋求療癒', 'text_deu': 'Auf der Suche nach Erholung', 'text_fra': 'Recherche de bien-être', 'text_kor': '힐링을 위해', 'text_rus': 'В поисках отдыха', 'text_spa': 'En busca de la relajación'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_220'}
MAIN_QUEST_P_03_022	{'text_eng': 'In Search of Relaxation', 'text_jpn': '癒しを求めて', 'text_chs': '寻求治愈', 'text_cht': '尋求療癒', 'text_deu': 'Auf der Suche nach Erholung', 'text_fra': 'Recherche de bien-être', 'text_kor': '힐링을 위해', 'text_rus': 'В поисках отдыха', 'text_spa': 'En busca de la relajación'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_220'}
MAIN_QUEST_P_03_050	"{'text_eng': 'Revised Relaxation Center Improvement Plan', 'text_jpn': '改・療養地改造計画', 'text_chs': '疗养地改造计划·改', 'text_cht': '療養地改造計畫‧改', 'text_deu': 'Das Erholungszentrum auf Vordermann bringen', 'text_fra': ""Révision du plan d'amélioration du centre de bien-être"", 'text_kor': '휴양지 개선계획ㆍ개', 'text_rus': 'Пересмотренный план развития центра отдыха', 'text_spa': 'Nuevo plan de mejora del centro de relajación'}"	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_218'}
MAIN_QUEST_P_03_051	"{'text_eng': 'Revised Relaxation Center Improvement Plan', 'text_jpn': '改・療養地改造計画', 'text_chs': '疗养地改造计划·改', 'text_cht': '療養地改造計畫‧改', 'text_deu': 'Das Erholungszentrum auf Vordermann bringen', 'text_fra': ""Révision du plan d'amélioration du centre de bien-être"", 'text_kor': '휴양지 개선계획ㆍ개', 'text_rus': 'Пересмотренный план развития центра отдыха', 'text_spa': 'Nuevo plan de mejora del centro de relajación'}"	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_218'}
MAIN_QUEST_P_03_052	"{'text_eng': 'Revised Relaxation Center Improvement Plan', 'text_jpn': '改・療養地改造計画', 'text_chs': '疗养地改造计划·改', 'text_cht': '療養地改造計畫‧改', 'text_deu': 'Das Erholungszentrum auf Vordermann bringen', 'text_fra': ""Révision du plan d'amélioration du centre de bien-être"", 'text_kor': '휴양지 개선계획ㆍ개', 'text_rus': 'Пересмотренный план развития центра отдыха', 'text_spa': 'Nuevo plan de mejora del centro de relajación'}"	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_218'}
MAIN_QUEST_P_04_030	{'text_eng': 'Homunculus Documents', 'text_jpn': 'ホムンクルスの資料', 'text_chs': '人造人的资料', 'text_cht': '人造人的資料', 'text_deu': 'Unterlagen des Homunkulus', 'text_fra': 'Documents sur les homoncules', 'text_kor': '호문쿨루스에 관한 자료', 'text_rus': 'Документы о гомункулах', 'text_spa': 'Documentos sobre los homúnculos'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_219'}
MAIN_QUEST_P_04_031	{'text_eng': 'Homunculus Documents', 'text_jpn': 'ホムンクルスの資料', 'text_chs': '人造人的资料', 'text_cht': '人造人的資料', 'text_deu': 'Unterlagen des Homunkulus', 'text_fra': 'Documents sur les homoncules', 'text_kor': '호문쿨루스에 관한 자료', 'text_rus': 'Документы о гомункулах', 'text_spa': 'Documentos sobre los homúnculos'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_219'}
MAIN_QUEST_P_04_040	{'text_eng': 'Suspecting Licht', 'text_jpn': 'リヒトの疑惑', 'text_chs': '利希特的疑点', 'text_cht': '利希特的可疑之處', 'text_deu': 'Zweifel an Licht', 'text_fra': 'Soupçons sur Licht', 'text_kor': '리히트의 의심', 'text_rus': 'Лихт под подозрением', 'text_spa': 'Sospechas sobre Licht'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_205'}
MAIN_QUEST_P_04_041	{'text_eng': 'Suspecting Licht', 'text_jpn': 'リヒトの疑惑', 'text_chs': '利希特的疑点', 'text_cht': '利希特的可疑之處', 'text_deu': 'Zweifel an Licht', 'text_fra': 'Soupçons sur Licht', 'text_kor': '리히트의 의심', 'text_rus': 'Лихт под подозрением', 'text_spa': 'Sospechas sobre Licht'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_205'}
MAIN_QUEST_P_04_042	{'text_eng': 'Suspecting Licht', 'text_jpn': 'リヒトの疑惑', 'text_chs': '利希特的疑点', 'text_cht': '利希特的可疑之處', 'text_deu': 'Zweifel an Licht', 'text_fra': 'Soupçons sur Licht', 'text_kor': '리히트의 의심', 'text_rus': 'Лихт под подозрением', 'text_spa': 'Sospechas sobre Licht'}	{'text_eng': 'Main Quest', 'text_jpn': 'メインクエスト', 'text_chs': '主线任务', 'text_cht': '主線任務', 'text_deu': 'Hauptaufträge', 'text_fra': 'Quêtes principales', 'text_kor': '메인 퀘스트', 'text_rus': 'Основные задания', 'text_spa': 'Misiones principales'}	{'reward': 'ITEM_INTERIOR_205'}
CHARACTER_QUEST_VICTOR_01	"{'text_eng': ""Viktor's Virtue 2"", 'text_jpn': 'ヴィクトルの正義・２', 'text_chs': '维克多的正义 2', 'text_cht': '維克多的正義 2', 'text_deu': 'Viktors Tugenden 2', 'text_fra': 'La vertu de Viktor 2', 'text_kor': '빅토르의 정의2', 'text_rus': 'Доблесть Виктора 2', 'text_spa': 'El bueno de Viktor\xa02'}"	{'text_eng': 'Viktor', 'text_jpn': 'ヴィクトル', 'text_chs': '维克多', 'text_cht': '維克多', 'text_deu': 'Viktor', 'text_fra': 'Viktor', 'text_kor': '빅토르', 'text_rus': 'Виктор', 'text_spa': 'Viktor'}	[{'reward_hash': 'ITEM_INTERIOR_10'}, {'reward_hash': 'ITEM_INTERIOR_36'}]
CHARACTER_QUEST_VICTOR_03	"{'text_eng': ""Viktor's Virtue 4"", 'text_jpn': 'ヴィクトルの正義・４', 'text_chs': '维克多的正义 4', 'text_cht': '維克多的正義 4', 'text_deu': 'Viktors Tugenden 4', 'text_fra': 'La vertu de Viktor 4', 'text_kor': '빅토르의 정의4', 'text_rus': 'Доблесть Виктора 4', 'text_spa': 'El bueno de Viktor\xa04'}"	{'text_eng': 'Viktor', 'text_jpn': 'ヴィクトル', 'text_chs': '维克多', 'text_cht': '維克多', 'text_deu': 'Viktor', 'text_fra': 'Viktor', 'text_kor': '빅토르', 'text_rus': 'Виктор', 'text_spa': 'Viktor'}	[{'reward_hash': 'ITEM_INTERIOR_21'}, {'reward_hash': 'ITEM_INTERIOR_46'}]
