choice_list_id	choice_data	is_karma_min_limit_change
CM04_100_1_TWO	[{'choice': 'Can I feel too?'}, {'choice': 'Give her a break ...'}]	
CM04_150_1_TWO	"[{'choice': 'Take a look.'}, {'choice': ""Let's talk about something else.""}]"	
CM04_160_1_TWO	"[{'choice': 'Maybe he wanted it back anyway.'}, {'choice': ""There's no point to all of this.""}]"	
CM05_020_1_TWO	"[{'choice': ""You didn't cause trouble.""}, {'choice': ""You're always a big help!""}]"	
CM05_040_1_TWO	[{'choice': 'Are you not feeling well?'}, {'choice': 'Are you hungry?'}]	
CM05_080_1_TWO	"[{'choice': 'Do you always bring them?'}, {'choice': ""What if you don't have any?""}]"	
CM05_160_1_TWO	"[{'choice': ""I'll miss you.""}, {'choice': ""Let's make more memories.""}]"	
RM01_020_1_TWO	"[{'choice': ""Let's help investigate.""}, {'choice': ""Let's ask the chief for instructions.""}]"	
RM01_220_1_THREE	"[{'choice': ""Let's look elsewhere.""}, {'choice': ""Let's ask the Alber.""}, {'choice': ""Let's ask Wilma for advice.""}]"	
RM01_330_1_THREE	[{'choice': 'Set up an Energy Generator.'}, {'choice': 'Find a facility with high consumption.'}, {'choice': 'Check the path of the mana flow.'}]	
RM02_190_1_THREE	"[{'choice': ""Let's talk to the knowledgeable Alber.""}, {'choice': ""Let's find the Alber with the old book.""}, {'choice': ""Let's ask the curious Alber.""}]"	
RM02_300_1_THREE	"[{'choice': '""Harvest"" means reforesting the wastelands.'}, {'choice': 'It was a plan to fight starvation.'}, {'choice': 'It was promoting a wise nation.'}]"	
RM03_080_1_THREE	"[{'choice': 'What if we get rid of monsters?'}, {'choice': 'Is there anything you want?'}, {'choice': ""I'll make you something.""}]"	
RM03_230_1_THREE	"[{'choice': ""Let's reuse the tracking device.""}, {'choice': ""Let's search any suspicious spots.""}, {'choice': ""Let's ask the other team members to help.""}]"	
RM04_120_1_TWO	"[{'choice': ""Let's search the imperial graveyard.""}, {'choice': ""Let's search the commercial district.""}]"	
RM04_210_1_THREE	"[{'choice': ""We'll look for that item you need.""}, {'choice': ""I'll make you a strong weapon.""}, {'choice': ""I'll make you a simple base.""}]"	
MM07_420_1_THREE_A_B_C	[{'choice': 'The statue holding a sword.'}, {'choice': 'The statue holding a shield.'}, {'choice': 'The statue holding a staff.'}]	
MM07_420_1_THREE_A_B_D	[{'choice': 'The statue holding a sword.'}, {'choice': 'The statue holding a shield.'}, {'choice': 'The statue holding scales.'}]	
MM07_420_1_THREE_A_C_D	[{'choice': 'The statue holding a sword.'}, {'choice': 'The statue holding a staff.'}, {'choice': 'The statue holding scales.'}]	
MM07_420_1_THREE_B_C_D	[{'choice': 'The statue holding a shield.'}, {'choice': 'The statue holding a staff.'}, {'choice': 'The statue holding scales.'}]	
MM07_420_1_TWO_A_B	[{'choice': 'The statue holding a sword.'}, {'choice': 'The statue holding a shield.'}]	
MM07_420_1_TWO_A_C	[{'choice': 'The statue holding a sword.'}, {'choice': 'The statue holding a staff.'}]	
MM07_420_1_TWO_A_D	[{'choice': 'The statue holding a sword.'}, {'choice': 'The statue holding scales.'}]	
MM07_420_1_TWO_B_C	[{'choice': 'The statue holding a shield.'}, {'choice': 'The statue holding a staff.'}]	
MM07_420_1_TWO_B_D	[{'choice': 'The statue holding a shield.'}, {'choice': 'The statue holding scales.'}]	
MM07_420_1_TWO_C_D	[{'choice': 'The statue holding a staff.'}, {'choice': 'The statue holding scales.'}]	
MM07_420_1_ONE_A	[{'choice': 'The statue holding a sword.'}]	
MM07_420_1_ONE_B	[{'choice': 'The statue holding a shield.'}]	
MM07_420_1_ONE_C	[{'choice': 'The statue holding a staff.'}]	
MM07_420_1_ONE_D	[{'choice': 'The statue holding scales.'}]	
