GiftTraitTableId	Numbers1	TraitName0	TraitName1	TraitName2	TraitName3	TraitName4	TraitName5	TraitName6	TraitName7	TraitName8	TraitName9	Numbers2	TraitIds
1275611647	[0, 0]	Item Level Boost+	Cheap +	Expensive +	HP Boost	ATK Boost	DEF Boost	SPD Boost	Skill Boost	AP Consumed -20%	All Stats Boost	[20, 20, 20, 10, 10, 10, 10, 5, 5, 5]	[1337441194, 638168461, 610276364, 115666646, 2077114205, 2065053695, 1741477285, 1151000089, 1445273400, 1680748672]
990869865	[0, 0]	Item Level Boost++	HP Boost	ATK Boost	DEF Boost	SPD Boost	AP Consumed -10%	AP Consumed -15%	Skill Charge	Parameters +10%	DEX Boost	[20, 20, 20, 20, 20, 10, 10, 10, 10, 10]	[951094076, 115666646, 2077114205, 2065053695, 1741477285, 1205109228, 555888558, 865988239, 489786459, 875554989]
1519653684	[0, 0]	HP Charge	HP Boost	ATK Charge	ATK Boost	DEF Charge	DEF Boost	SPD Charge	SPD Boost	All Stats Boost	DEX Supercharge	[20, 20, 20, 20, 20, 20, 20, 20, 20, 10]	[1611808916, 115666646, 490246425, 2077114205, 501258683, 2065053695, 20610017, 1741477285, 1680748672, 1126750267]
764617634	[0, 0]	Superb Quality	War God's Power	Dragonscale Protection	Speed of Light	AP Consumed -20%	Reduce AP Consumed	Skill Boost	Enhanced Body	Skillful Technique	Skill Supercharge	[30, 30, 30, 30, 0, 10, 10, 10, 10, 10]	[1222279091, 2091121478, 2088498150, 1621168572, 1445273400, 935228773, 1151000089, 1781972173, 1437893360, 577531997]
1815261033	[0, 0]	Destruction Up	Enhance Finisher	Critical	Stun Damage	Rapid Use	Critical Blessing	Proficient Mix	Proficient Interrupt	Critical Boon		[20, 20, 20, 10, 10, 10, 5, 5, 5, 0]	[1294472984, 96176936, 1072124231, 1833865731, 1753600461, 1366634800, 202645357, 1518989954, 555730337, 0]
456499199	[0, 0]	Destruction Up +	Enhance Finisher +	Critical +	Stun Damage+	Rapid Use +	Critical Blessing+	Proficient Mix+	Proficient Interrupt+	Critical Boon		[10, 10, 10, 10, 10, 10, 10, 10, 5, 0]	[736016722, 1666000238, 1494351619, 196623431, 242450313, 931372906, 1793241385, 1014979780, 555730337, 0]
2109944251	[0, 0]	Destruction Up ++	Enhance Finisher ++	Critical ++	Stun Damage++	Sonic Throw	Critical Blessing++	Proficient Mix++	Proficient Interrupt++	Critical Finish		[10, 10, 10, 10, 10, 10, 5, 10, 5, 0]	[1557760452, 340399612, 773246869, 2092895441, 2037665567, 1082437628, 501580223, 1266183250, 1334683080, 0]
180617517	[0, 0]	Area Bonus	Few Bonus	Enhance Last	Attack Blessing	Magic Blessing	Fire Blessing	Ice Blessing	Bolt Blessing	Air Blessing	Last Strike	[10, 10, 10, 10, 10, 10, 10, 10, 10, 5]	[1228786093, 1604424552, 1920463902, 1090580468, 1134476396, 1466047851, 147219863, 1127814103, 1956145161, 35455123]
1801415536	[0, 0]	Area Bonus +	Few Bonus +	Enhance Last +	Attack Blessing+	Magic Blessing+	Fire Blessing+	Ice Blessing+	Bolt Blessing+	Air Blessing+	Strong Throw	[10, 10, 10, 10, 10, 10, 10, 10, 10, 5]	[801859561, 820080905, 344021592, 670450102, 627577390, 831828783, 1848691667, 634371475, 309249613, 2029945362]
475552742	[0, 0]	Effective vs Many	Effective vs One	Final Blow	Great Attack Blessing	Great Magic Blessing	Great Fire Blessing	Great Ice Blessing	Great Bolt Blessing	Great Air Blessing	Ruthless Strike	[10, 10, 10, 10, 10, 10, 10, 10, 10, 5]	[1489786751, 1206272415, 1669753550, 1358000416, 1383015096, 1184072633, 423099205, 1388875013, 1701443291, 1976663975]
2058286500	[0, 0]	Skill Supercharge	Eco Skill Use	Reduce Skill Cost	Extremely Devastating	Half Critical	Certain Critical	Critical Elite	Uses +2	Uses -2	Compress Count +	[10, 15, 10, 10, 15, 10, 10, 10, 10, 10]	[577531997, 975938214, 1294766644, 749960523, 948606302, 1585199900, 820927347, 1358320909, 761151955, 380658076]
1429628015	[0, 0]	Curse Strength	Curse Protection	Curse Speed	Curse Phys ATK	Curse Magic ATK	Curse Fire ATK	Curse Ice ATK	Curse Bolt ATK	Curse Air ATK		[10, 10, 10, 20, 20, 20, 20, 20, 20, 0]	[1601005557, 1565032542, 23315303, 1991437565, 1949089637, 940920071, 1064593050, 2001917165, 468662373, 0]
573658361	[0, 0]	Banish Strength	Banish Protection	Banish Speed	Curse Phys ATK+	Curse Magic ATK+	Curse Fire ATK+	Curse Ice ATK+	Curse Bolt ATK+	Curse Air ATK+		[10, 10, 10, 20, 20, 20, 20, 20, 20, 0]	[966511025, 1002319388, 1737846051, 272908985, 316281121, 1591993155, 1501743324, 295991977, 2098828833, 0]
1153956541	[0, 0]	Banish All Strength	Banish All Protection	Banish All Speed	Bind Phys ATK	Bind Magic ATK	Bind Fire ATK	Bind Ice ATK	Bind Bolt ATK	Bind Air ATK		[10, 10, 10, 20, 20, 20, 20, 20, 20, 0]	[1318910247, 1287200398, 278027701, 1732473391, 1708990903, 702862293, 780531786, 1721977407, 169780919, 0]
868272683	[0, 0]	Curse Strength	Curse Protection	Curse Speed	Mighty Curse	Magic Curse	Fire Curse	Ice Curse	Bolt Curse	Air Curse		[10, 10, 10, 20, 20, 20, 20, 20, 20, 0]	[1601005557, 1565032542, 23315303, 1339726756, 1296353340, 1885465798, 102502849, 80725041, 1402706342, 0]
1381736566	[0, 0]	Banish Strength	Banish Protection	Banish Speed	Mighty Curse+	Magic Curse+	Fire Curse+	Ice Curse+	Bolt Curse+	Air Curse+		[10, 10, 10, 20, 20, 20, 20, 20, 20, 0]	[966511025, 1002319388, 1737846051, 690763234, 733111930, 379011712, 1625997189, 1647929973, 896350180, 0]
626823392	[0, 0]	Banish All Strength	Banish All Protection	Banish All Speed	Greater Mighty Curse	Greater Magic Curse	Greater Fire Curse	Greater Ice Curse	Greater Bolt Curse	Greater Air Curse		[10, 10, 10, 20, 20, 20, 20, 20, 20, 0]	[1318910247, 1287200398, 278027701, 1579877752, 1555388144, 1636856342, 401444627, 356408035, 1114244982, 0]
1135230630	[0, 0]	Inflict Paralysis	Inflict Sleep	Inflict Poison	Inflict Burns	Inflict Blindness	Inflict Daze	Inflict Frostbite				[20, 20, 20, 20, 20, 20, 20, 0, 0, 0]	[1612405935, 2030071280, 1378696749, 1261834094, 74946987, 493660396, 910293801, 0, 0, 0]
883756596	[0, 0]	Inflict Numbness	Inflict Torpor	Inflict Venom	Inflict Blaze	Inflict Grudge	Inflict Binding	Inflict Glacier				[20, 20, 20, 20, 20, 20, 20, 0, 0, 0]	[116257515, 536265642, 886804585, 767598888, 1652635631, 2073691822, 1354192237, 0, 0, 0]
1200693280	[0, 0]	ATK Charge	ATK-DEF Charge	ATK-SPD Charge	AP Consumed -10%	Skill Power +10%	Parameters +8%					[10, 10, 10, 10, 10, 10, 0, 0, 0, 0]	[490246425, 1046560754, 1486328248, 1205109228, 1140267522, 2076647967, 0, 0, 0, 0]
815141046	[0, 0]	ATK Boost	ATK-DEF Boost	ATK-SPD Boost	AP Consumed -15%	Skill Power +12%	Parameters +10%					[10, 10, 10, 10, 10, 10, 0, 0, 0, 0]	[2077114205, 1309395837, 957152235, 555888558, 620868676, 489786459, 0, 0, 0, 0]
1449180916	[0, 0]	ATK Supercharge	ATK-DEF Supercharge	ATK-SPD Supercharge	AP Consumed -20%	Skill Power +15%	Evolved Body	All Stats Charge				[10, 10, 10, 10, 10, 3, 10, 0, 0, 0]	[214503371, 687695161, 1203603286, 1445273400, 1376158930, 442255426, 47750854, 0, 0, 0]
2132040433	[0, 0]	HP Charge	DEF Charge	ATK-DEF Charge	DEF-SPD Charge	Parameters +8%						[10, 10, 10, 10, 10, 0, 0, 0, 0, 0]	[1611808916, 501258683, 1046560754, 798007586, 2076647967, 0, 0, 0, 0, 0]
135490151	[0, 0]	HP Boost	DEF Boost	ATK-DEF Boost	DEF-SPD Boost	Parameters +10%						[10, 10, 10, 10, 10, 0, 0, 0, 0, 0]	[115666646, 2065053695, 1309395837, 1610241455, 489786459, 0, 0, 0, 0, 0]
1860551715	[0, 0]	HP Supercharge	DEF Supercharge	ATK-DEF Supercharge	DEF-SPD Supercharge	Evolved Body	All Stats Charge					[10, 10, 10, 10, 3, 10, 0, 0, 0, 0]	[1910758976, 202442601, 687695161, 817543104, 442255426, 47750854, 0, 0, 0, 0]
332012979	[0, 0]	HP Charge	SPD Charge	ATK-SPD Charge	DEF-SPD Charge	Parameters +8%	AP Consumed -10%					[10, 10, 10, 10, 10, 10, 0, 0, 0, 0]	[1611808916, 20610017, 1486328248, 798007586, 2076647967, 1205109228, 0, 0, 0, 0]
1691168037	[0, 0]	HP Boost	SPD Boost	ATK-SPD Boost	DEF-SPD Boost	Parameters +10%	AP Consumed -15%					[10, 10, 10, 10, 10, 10, 0, 0, 0, 0]	[115666646, 1741477285, 957152235, 1610241455, 489786459, 555888558, 0, 0, 0, 0]
37454689	[0, 0]	HP Supercharge	SPD Supercharge	ATK-SPD Supercharge	DEF-SPD Supercharge	Evolved Body	AP Consumed -20%	All Stats Charge				[10, 10, 10, 10, 3, 10, 10, 0, 0, 0]	[1910758976, 281797939, 1203603286, 817543104, 442255426, 1445273400, 47750854, 0, 0, 0]
509001278	[0, 0]	Uses +1	Uses -1	Recovery Up	Paralysis Cure	Sleep Cure	Poison Cure	Burns Cure	Blindness Cure	Daze Cure	Frostbite Cure	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]	[906033993, 1269362583, 1859122559, 719721902, 1276165100, 991398782, 1519182113, 764137911, 1266515955, 1014648677]
1766952616	[0, 0]	Uses +2	Uses -2	Recovery Up +	Recovery Up ++	Remove All Status Eff.	Grant HP Recovery	Grant HP Recovery+				[20, 20, 20, 10, 3, 20, 10, 0, 0, 0]	[1358320909, 761151955, 137976635, 2134797229, 1396354314, 522010794, 2045505264, 0, 0, 0]
1383703196	[0, 0]	Cheap		Item Level Boost	Expensive							[10, 10, 10, 10, 0, 0, 0, 0, 0, 0]	[1090454473, 0, 692131312, 1117174350, 0, 0, 0, 0, 0, 0]
629051918	[0, 0]	Cheap +		Item Level Boost+	Expensive +							[10, 10, 10, 10, 0, 0, 0, 0, 0, 0]	[638168461, 0, 1337441194, 610276364, 0, 0, 0, 0, 0, 0]
1133001800	[0, 0]	Cheap ++		Item Level Boost++	Expensive ++							[10, 10, 10, 10, 0, 0, 0, 0, 0, 0]	[1359912219, 0, 951094076, 1399268510, 0, 0, 0, 0, 0, 0]
