text_ENG	Race	Number	Number2	ElemRes1	ElemRes2	ElemRes3	ElemRes4	ElemRes5	ElemRes6	AilRes1	AilRes2	AilRes3	AilRes4	AilRes5	AilRes6	AilRes7	AilRes8	DropReward0	DropReward1	DropReward2	DropReward3	DropReward4	DropGift0	DropGift1	DropGift2	DropGift3	DropGift4	text_JPN	text_CHS	text_CHT	text_KOR	FlavorText	EnemyLibraryInfoId
Big Green Puni	Puni	[6, 3, 3, 5]	504	0	0	-50	0	0	-25	0	-25	0	-50	0	0	-25	0	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 1341465297, 'ItemName': 'Green Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1649970805, 'ItemName': 'Arbor Ivy', 'GradeMin': 1, 'GradeMax': 25}	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1735586464, 'ItemName': 'Colored Cotton Grass', 'GradeMin': 1, 'GradeMax': 25}	{'LevelMin': 23, 'LevelMax': 39, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 815574210, 'ItemName': 'Endangered Herb', 'GradeMin': 1, 'GradeMax': 25}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1981762750, 'ItemName': 'Altus - Verdant Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1774877220, 'ItemName': 'Altus - Jade Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1465302760, 'ItemName': 'Altus - Jade Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1065912040, 'ItemName': 'Altus - Jade Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 84482193, 'ItemName': 'Altus - Jade Amethyst'}	でか緑ぷに	巨大绿噗尼	巨大綠噗尼	거대 초록 푸니	"{'flavor1': {'text_ENG': 'Green Puni have always seemed kind of dirty to me. What do you think?', 'text_JPN': '「緑色のぷにって、ちょっと汚いイメージが\n\u3000あるんだけど、どう思う？」', 'text_CHT': '「綠色的噗尼看起來有點髒，\n\u3000你覺得呢？」', 'text_CHS': '“绿色的噗尼看起来有点脏，\n\u3000你觉得呢？”', 'text_KOR': '「초록 푸니한테는 좀 지저분한 이미지가\n 있는데, 어떻게 생각해?」'}, 'char1': 'Wilbell', 'flavor2': {'text_ENG': ""Makes sense. After all, they're the same shade of green as a fountain full of algae."", 'text_JPN': '「まあ、気持ちはわからなくはない。\n\u3000藻が生えた噴水と同じ色だからな……」', 'text_CHT': '「嗯，其實我也這麼覺得，\n\u3000那顏色就跟長滿藻類的噴水池一樣……」', 'text_CHS': '“嗯，其实我也这么觉得，\n\u3000那颜色就和长满藻类的喷水池一样……”', 'text_KOR': '「뭐, 마음은 모르는 것도 아니야.\n 녹조가 낀 분수와 같은 색이니까…」'}, 'char2': 'Raze'}"	591013201
		[1, 1, 1, 2]	5																														190955934
		[7, 3, 3, 6]	505																														1599253736
		[3, 3, 1, 3]	6																														304150375
		[7, 5, 5, 6]	506																														261040200
Flower Puni	Puni	[1, 1, 1, 2]	7	0	0	-50	0	50	-25	0	-25	50	-50	0	0	-25	0	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 215919209, 'ItemName': 'Pink Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1978153648, 'ItemName': 'Sweet Flower', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1735586464, 'ItemName': 'Colored Cotton Grass', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 815574210, 'ItemName': 'Endangered Herb', 'GradeMin': 1, 'GradeMax': 8}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 297808712, 'ItemName': 'Altus - Vibrant Amethyst'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1531694908, 'ItemName': 'Altus - Amethyst Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 141483302, 'ItemName': 'Altus - Amethyst Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1100424542, 'ItemName': 'Altus - Amethyst Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 725724465, 'ItemName': 'Altus - Amethyst Glow'}	花ぷに	花噗尼	花噗尼	꽃 푸니	"{'flavor1': {'text_ENG': 'A Puni with a flower growing out of it.', 'text_JPN': '「頭に花が生えてるぷにだね」', 'text_CHT': '「這種噗尼頭上長了花耶。」', 'text_CHS': '“这种噗尼头上长了花啊。”', 'text_KOR': '「머리에 꽃이 핀 푸니구나」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': 'Wonder what would happen if you plucked it off ...', 'text_JPN': '「あの花抜いたらどうなるのかな……」', 'text_CHT': '「把花拔掉，不曉得會怎麼樣……」', 'text_CHS': '“不知道把花拔掉会怎样……”', 'text_KOR': '「저 꽃을 뽑으면 어떻게 될까요…」'}, 'char2': 'Totori', 'flavor3': {'text_ENG': ""That's where your mind goes?!"", 'text_JPN': '「あのぷにを見て最初に出る感想がそれか！？」', 'text_CHT': '「這就是你第一次看到花噗尼的感想嗎！？」', 'text_CHS': '“这就是你第一眼看到花噗尼的感想吗？！”', 'text_KOR': '「저 푸니를 본 첫 감상이 그거야?!」'}, 'char3': 'Slade'}"	1864943816
		[2, 2, 1, 3]	8																														335925103
		[3, 3, 2, 3]	9																														1547232877
Red Puni	Puni	[2, 3, 1, 3]	10	0	0	100	-50	0	-25	0	-25	0	100	0	0	-25	-50	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 675238874, 'ItemName': 'Red Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 2089940276, 'ItemName': 'Princess Grass', 'GradeMin': 1, 'GradeMax': 17}	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1748601842, 'ItemName': 'Mana Petal', 'GradeMin': 1, 'GradeMax': 17}	{'LevelMin': 14, 'LevelMax': 29, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1644632644, 'ItemName': 'Rose Crystal', 'GradeMin': 1, 'GradeMax': 17}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 862042001, 'ItemName': 'Altus - Fiery Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1604245495, 'ItemName': 'Altus - Crimson Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 81819358, 'ItemName': 'Altus - Crimson Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 960734910, 'ItemName': 'Altus - Crimson Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 63060165, 'ItemName': 'Altus - Crimson Amethyst'}	赤ぷに	红噗尼	紅噗尼	빨강 푸니	"{'flavor1': {'text_ENG': 'I heard that Puni change color based on what they eat.', 'text_JPN': '「ぷには食べるもので色が変わるらしいよ」', 'text_CHT': '「噗尼的顏色好像會隨著吃下的東西改變。」', 'text_CHS': '“据说噗尼的颜色会根据吃的东西而变。”', 'text_KOR': '「푸니는 먹이에 따라 색깔이 변한대」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': 'Then I guess the red ones got that way from eating lots of tomatoes?', 'text_JPN': '「赤いってことはトマトでも食べたのかしら？」', 'text_CHT': '「看牠紅通通的，說不定是吃了蕃茄？」', 'text_CHS': '“看它红彤彤的，说不定是吃了番茄？”', 'text_KOR': '「빨갛다는 건 토마토라도 먹은 걸까?」'}, 'char2': 'Marie', 'flavor3': {'text_ENG': ""Some say it's actually from consuming blood ..."", 'text_JPN': '「一説によると真っ赤な血を飲んだとか……」', 'text_CHT': '「或者是喝了鮮紅的血……」', 'text_CHS': '“或者是喝了鲜红的血……”', 'text_KOR': '「일설에 의하면 새빨간 피를 먹었다던가…」'}, 'char3': 'Rias', 'flavor4': {'text_ENG': ""Th-that's terrifying!"", 'text_JPN': '「こ、怖ぁー！」', 'text_CHT': '「好、好恐怖！」', 'text_CHS': '“好、好恐怖！”', 'text_KOR': '「무, 무서워…!」'}, 'char4': 'Marie'}"	681880350
Big Red Puni	Puni	[7, 6, 5, 6]	507	0	0	100	-50	0	-25	0	-25	0	100	0	0	-25	-50	{'LevelMin': 30, 'LevelMax': 48, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 675238874, 'ItemName': 'Red Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 30, 'LevelMax': 48, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1080036459, 'ItemName': 'Sunbeam Powder', 'GradeMin': 1, 'GradeMax': 37}	{'LevelMin': 30, 'LevelMax': 48, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1644632644, 'ItemName': 'Rose Crystal', 'GradeMin': 1, 'GradeMax': 37}	{'LevelMin': 30, 'LevelMax': 48, 'TraitId1': 998011272, 'TraitId2': 0, 'ItemId': 2056789704, 'ItemName': 'Manaphoria', 'TraitName1': 'Harvest Blessing'}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 862042001, 'ItemName': 'Altus - Fiery Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1604245495, 'ItemName': 'Altus - Crimson Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 81819358, 'ItemName': 'Altus - Crimson Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 960734910, 'ItemName': 'Altus - Crimson Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 63060165, 'ItemName': 'Altus - Crimson Amethyst'}	でか赤ぷに	巨大红噗尼	巨大紅噗尼	거대 빨강 푸니	"{'flavor1': {'text_ENG': ""Sometimes, I think there's a sunset in the sky, only for it to turn out to be a Big Red Puni bounding my way."", 'text_JPN': '「空が急に夕焼け空になった、と思ったら\n\u3000でか赤ぷにだったことがあるんだ」', 'text_CHT': '「有次我以為天空突然布滿了晚霞，\n\u3000結果是一隻好大的紅噗尼撲了上來。」', 'text_CHS': '“有一次我以为天空突然布满了晚霞，\n\u3000结果是一只好大的红噗尼扑了上来。”', 'text_KOR': '「하늘이 갑자기 붉어졌다고 생각했는데,\n 거대한 빨강 푸니였던 적이 있었지」'}, 'char1': 'Sophie', 'flavor2': {'text_ENG': 'The same thing has happened to me!', 'text_JPN': '「あっ、それわたしも同じことありました！」', 'text_CHT': '「啊，我也有過相同的經驗！」', 'text_CHS': '“啊，我也有过相同的经验！”', 'text_KOR': '「아, 그거 저도 똑같은 일이 있었어요!」'}, 'char2': 'Totori', 'flavor3': {'text_ENG': ""Sun ... set? Oh, right. That's that sky thing we don't have in our world."", 'text_JPN': '「ユーヤケ空？\u3000この世界にない空のこと？」', 'text_CHT': '「布滿晚霞的天空？是這個世界沒有的天空吧？」', 'text_CHS': '“布满晚霞的天空？是这个世界没有的天空吧？”', 'text_KOR': '「저녁노을? 이 세계에는 없는 하늘이지?」'}, 'char3': 'Rias'}"	1845298685
		[3, 3, 2, 3]	11																														1267144293
		[7, 6, 5, 6]	508																														133494001
		[3, 5, 3, 5]	12																														737962637
		[8, 6, 6, 7]	509																														823042220
Silver Puni	Puni	[1, 1, 7, 7]	13	0	0	50	50	50	50	100	50	50	50	0	0	50	50	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 202537561, 'ItemName': 'Silver Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 2083546144, 'ItemName': 'Amatite Ore', 'GradeMin': 1, 'GradeMax': 20}		{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1347401143, 'ItemName': 'Undastone', 'GradeMin': 1, 'GradeMax': 20}							シルバーぷに	银噗尼	銀噗尼	실버 푸니	"{'flavor1': {'text_ENG': 'Here, Rias, I brought you a Puni Ball.', 'text_JPN': '「ほら、リアス。ぷにぷに玉採れたぞ」', 'text_CHT': '「莉雅絲，妳看，採到噗尼噗尼珠了。」', 'text_CHS': '“莉雅丝，你看，采到噗尼噗尼珠了。”', 'text_KOR': '「자, 리아스. 푸니푸니 구슬을 채집했어」'}, 'char1': 'Slade', 'flavor2': {'text_ENG': ""I do love Puni Balls, but that one doesn't look squishy at all, so I'm good."", 'text_JPN': '「ぷにぷに玉は好きだけど、\n\u3000このぷにぷに玉は堅そうだからいいや……」', 'text_CHT': '「我是喜歡噗尼噗尼珠，\n\u3000但這顆看起來好硬，還是算了……」', 'text_CHS': '“我是喜欢噗尼噗尼珠，\n\u3000但这颗看起来好硬，还是算了……”', 'text_KOR': '「푸니푸니 구슬은 좋아하지만, 이 푸니\n 푸니 구슬은 단단해 보여서 좋아…」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': 'Picky about your Puni, I see ...', 'text_JPN': '「色々こだわりがあるんだな……」', 'text_CHT': '「妳可真挑剔……」', 'text_CHS': '“你可真挑剔……”', 'text_KOR': '「여러모로 따지는 게 있구나…」'}, 'char3': 'Slade'}"	431794492
