Index	Area	EnemyName1	EnemyName2	EnemyName3	EnemyName4	EnemyName5	Floors
34	Mt. Bone-Eater	Griffon					
34	Mt. Bone-Eater	Savage Assassin					
34	Mt. Bone-Eater	King of Storms					
38	Loiky Lava Cave	Despair Beast					
38	Loiky Lava Cave	Abyssal Tyrant					
38	Loiky Lava Cave	Venomous Threat					
42	Darklit Tundra	Ancient Phantom					
42	Darklit Tundra	Wandering Woe					
42	Darklit Tundra	Elegant Spirit Beast					
3	Forgotten Ruins	Fanged Bat					
5	????	Fanged Bat					
3	Forgotten Ruins	Fanged Bat	Fanged Bat				
4	????	Giant Weasel					
4	????	Giant Weasel	Giant Weasel				
3	Forgotten Ruins	Rock Golem					
24	Evermaze Forest	Wood Golem					
11	Lemna Marsh	Sprinting Bird	Wolf	Wolf			
28	Dripcrystal Cave	Heavy Warrior Armor					
21	Hall of the Fallen Dragon	Red Dragon Kerscha					
9	Baynort Road	Giant Weasel					
11	Lemna Marsh	Spooky Fear					
13	Hill of Prayer	Giant Weasel					
9	Baynort Road	Giant Weasel					
9	Baynort Road	Giant Weasel					
9	Baynort Road	Giant Weasel					
12	Sentinel Pass	Giant Weasel					
22	Evermaze Forest	Forest Jellyfish	Puni				
22	Evermaze Forest	Flower Pixie	Lickshroom				
22	Evermaze Forest	Horned Sheep					
7	Val Mine	Puni	Fanged Bat				
7	Val Mine	Puni	Fanged Bat				
7	Val Mine	Puni	Fanged Bat				
7	Val Mine	Green Puni	Fanged Bat				
7	Val Mine	Green Puni	Fanged Bat				
7	Val Mine	Hexagon Turtle	Stone Golem				
7	Val Mine	Hexagon Turtle	Stone Golem				
7	Val Mine	Hexagon Turtle	Stone Golem				
7	Val Mine	Purple Puppet	Lickshroom				
7	Val Mine	Purple Puppet	Lickshroom				
7	Val Mine	Fanged Bat	Hexagon Turtle				
7	Val Mine	Puni	Fanged Bat				
7	Val Mine	Puni	Fanged Bat				
7	Val Mine	Puni	Fanged Bat				
7	Val Mine	Green Puni	Fanged Bat				
7	Val Mine	Green Puni	Fanged Bat				
7	Val Mine	Ghost	Stone Golem				
7	Val Mine	Ghost	Stone Golem				
7	Val Mine	Ghost	Stone Golem				
7	Val Mine	Ghost	Haunt				
7	Val Mine	Ghost	Haunt				
7	Val Mine	Fanged Bat	Fanged Bat				
7	Val Mine	Puni	Fanged Bat	Puni			
7	Val Mine	Hexagon Turtle	Hexagon Turtle	Haunt			
7	Val Mine	Haunt	Purple Puppet	Green Puni			
7	Val Mine	Big Puni					
7	Val Mine	Mine Guardian					
7	Val Mine	Dark Sovereign					
14	Garden of Serenity	Sprinting Bird					
14	Garden of Serenity	Sprinting Bird					
14	Garden of Serenity	Sprinting Bird					
14	Garden of Serenity	Flower Puni	Green Puni				
14	Garden of Serenity	Flower Puni	Green Puni				
14	Garden of Serenity	Dryad	Dryad				
14	Garden of Serenity	Dryad	Dryad				
14	Garden of Serenity	Dryad	Dryad				
14	Garden of Serenity	Flower Pixie	Flower Pixie				
14	Garden of Serenity	Flower Pixie	Flower Pixie				
14	Garden of Serenity	Lickshroom	Flower Puni				
14	Garden of Serenity	Lickshroom	Flower Puni				
14	Garden of Serenity	Sprinting Bird					
14	Garden of Serenity	Sprinting Bird					
14	Garden of Serenity	Sprinting Bird					
14	Garden of Serenity	Flower Puni	Green Puni				
14	Garden of Serenity	Flower Puni	Green Puni				
14	Garden of Serenity	Ghost	Ghost				
14	Garden of Serenity	Ghost	Ghost				
14	Garden of Serenity	Ghost	Ghost				
14	Garden of Serenity	Haunt	Haunt				
14	Garden of Serenity	Haunt	Haunt				
14	Garden of Serenity	Dryad	Ghost				
14	Garden of Serenity	Dryad	Ghost				
14	Garden of Serenity	King of Storms					
14	Garden of Serenity	Moonlight Pixie					
14	Garden of Serenity	Elder Fairy					
10	Blyde Grasslands	Horned Sheep	Horned Sheep				
10	Blyde Grasslands	Horned Sheep	Horned Sheep				
10	Blyde Grasslands	Wolf	Wolf				
10	Blyde Grasslands	Wolf	Wolf				
10	Blyde Grasslands	Wolf	Wolf				
10	Blyde Grasslands	Puni	Green Puni	Puni			
10	Blyde Grasslands	Puni	Green Puni	Puni			
10	Blyde Grasslands	Puni	Green Puni	Puni			
10	Blyde Grasslands	Horned Sheep	Wolf	Horned Sheep			
10	Blyde Grasslands	Horned Sheep	Wolf	Horned Sheep			
10	Blyde Grasslands	Horned Sheep	Wolf	Horned Sheep			
10	Blyde Grasslands	Spore Dog	Spore Dog				
10	Blyde Grasslands	Spore Dog	Spore Dog				
10	Blyde Grasslands	Giant Weasel	Giant Weasel				
10	Blyde Grasslands	Giant Weasel	Giant Weasel				
10	Blyde Grasslands	Ghost	Ghost				
10	Blyde Grasslands	Ghost	Ghost				
10	Blyde Grasslands	Wolf	Wolf				
10	Blyde Grasslands	Wolf	Wolf				
10	Blyde Grasslands	Wolf	Wolf				
10	Blyde Grasslands	Puni	Green Puni	Puni			
10	Blyde Grasslands	Puni	Green Puni	Puni			
10	Blyde Grasslands	Puni	Green Puni	Puni			
10	Blyde Grasslands	Ghost	Wolf	Ghost			
10	Blyde Grasslands	Ghost	Wolf	Ghost			
10	Blyde Grasslands	Ghost	Wolf	Ghost			
10	Blyde Grasslands	Haunt	Haunt				
10	Blyde Grasslands	Haunt	Haunt				
10	Blyde Grasslands	Dryad	Dryad				
10	Blyde Grasslands	Dryad	Dryad				
10	Blyde Grasslands	Wolf	Horned Sheep	Wolf			
10	Blyde Grasslands	Spore Dog	Spore Dog	Giant Weasel			
10	Blyde Grasslands	Dryad	Dryad	Green Puni			
10	Blyde Grasslands	Extra-Large Mushroom					
10	Blyde Grasslands	Extra-Large Mushroom					
10	Blyde Grasslands	Countless Feelers					
10	Blyde Grasslands	Jagd Wolf	Jagd Wolf				
11	Lemna Marsh	Wolf	Wolf				
11	Lemna Marsh	Wolf	Wolf				
11	Lemna Marsh	Green Puni	Flower Puni				
11	Lemna Marsh	Green Puni	Flower Puni				
11	Lemna Marsh	Green Puni	Flower Puni				
11	Lemna Marsh	Bluefin	Bluefin				
11	Lemna Marsh	Bluefin	Bluefin				
11	Lemna Marsh	Bluefin	Bluefin				
11	Lemna Marsh	Zephyr Pixie	Zephyr Pixie				
11	Lemna Marsh	Zephyr Pixie	Zephyr Pixie				
11	Lemna Marsh	Sprinting Bird	Zephyr Pixie	Green Puni			
11	Lemna Marsh	Sprinting Bird	Zephyr Pixie	Green Puni			
11	Lemna Marsh	Wolf	Wolf				
11	Lemna Marsh	Wolf	Wolf				
11	Lemna Marsh	Green Puni	Flower Puni				
11	Lemna Marsh	Green Puni	Flower Puni				
11	Lemna Marsh	Green Puni	Flower Puni				
11	Lemna Marsh	Dryad	Dryad				
11	Lemna Marsh	Dryad	Dryad				
11	Lemna Marsh	Dryad	Dryad				
11	Lemna Marsh	Haunt	Haunt				
11	Lemna Marsh	Haunt	Haunt				
11	Lemna Marsh	Green Puni	Haunt	Ghost			
11	Lemna Marsh	Green Puni	Haunt	Ghost			
11	Lemna Marsh	Bluefin	Zephyr Pixie	Bluefin			
11	Lemna Marsh	Flower Puni	Flower Puni	Dryad			
11	Lemna Marsh	Sprinting Bird	Sprinting Bird				
11	Lemna Marsh	Weasel Mother					
11	Lemna Marsh	Giant Sheep					
11	Lemna Marsh	Coldspell					
12	Sentinel Pass	Mini Wyvern	Mini Wyvern				
12	Sentinel Pass	Mini Wyvern	Mini Wyvern				
12	Sentinel Pass	Zephyr Feather	Zephyr Feather				
12	Sentinel Pass	Zephyr Feather	Zephyr Feather				
12	Sentinel Pass	Flower Puni	Bluefin				
12	Sentinel Pass	Flower Puni	Bluefin				
12	Sentinel Pass	Flower Puni	Bluefin				
12	Sentinel Pass	Dryad	Dryad				
12	Sentinel Pass	Dryad	Dryad				
12	Sentinel Pass	Dryad	Dryad				
12	Sentinel Pass	Mini Wyvern	Horned Sheep	Flower Puni			
12	Sentinel Pass	Mini Wyvern	Horned Sheep	Flower Puni			
12	Sentinel Pass	Mini Wyvern	Mini Wyvern				
12	Sentinel Pass	Mini Wyvern	Mini Wyvern				
12	Sentinel Pass	Zephyr Feather	Zephyr Feather				
12	Sentinel Pass	Zephyr Feather	Zephyr Feather				
12	Sentinel Pass	Flower Puni	Haunt				
12	Sentinel Pass	Flower Puni	Haunt				
12	Sentinel Pass	Flower Puni	Haunt				
12	Sentinel Pass	Ghost	Ghost				
12	Sentinel Pass	Ghost	Ghost				
12	Sentinel Pass	Ghost	Ghost				
12	Sentinel Pass	Mini Wyvern	Blue Puppet	Flower Puni			
12	Sentinel Pass	Mini Wyvern	Blue Puppet	Flower Puni			
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Zephyr Feather	Zephyr Feather				
13	Hill of Prayer	Flower Puni	Bluefin				
13	Hill of Prayer	Flower Puni	Bluefin				
13	Hill of Prayer	Ice Flower Spirit	Ice Flower Spirit				
13	Hill of Prayer	Ice Flower Spirit	Ice Flower Spirit				
13	Hill of Prayer	Mini Wyvern	Ashen Wool	Flower Puni			
13	Hill of Prayer	Mini Wyvern	Ashen Wool	Flower Puni			
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Mini Wyvern	Mini Wyvern				
13	Hill of Prayer	Zephyr Feather	Zephyr Feather				
13	Hill of Prayer	Flower Puni	Scare Phantom				
13	Hill of Prayer	Flower Puni	Scare Phantom				
13	Hill of Prayer	Bleed, Wings of Calamity	Bleed, Wings of Calamity				
13	Hill of Prayer	Bleed, Wings of Calamity	Bleed, Wings of Calamity				
13	Hill of Prayer	Mini Wyvern	Flower Puni	Living Armor			
13	Hill of Prayer	Mini Wyvern	Flower Puni	Living Armor			
13	Hill of Prayer	Mini Wyvern	Zephyr Feather				
13	Hill of Prayer	Ashen Wool	Ashen Wool	Flower Puni			
13	Hill of Prayer	Bleed, Wings of Calamity	Blue Puppet	Ice Flower Spirit			
13	Hill of Prayer	Colossus Golem					
13	Hill of Prayer	Queen Specter					
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Hexagon Turtle	Hexagon Turtle				
15	Cape Petal	Hexagon Turtle	Hexagon Turtle				
15	Cape Petal	Wild Crest	Wild Crest				
15	Cape Petal	Wild Crest	Wild Crest				
15	Cape Petal	Wild Crest	Wild Crest				
15	Cape Petal	Black Shell	Black Shell				
15	Cape Petal	Black Shell	Black Shell				
15	Cape Petal	Black Shell	Black Shell				
15	Cape Petal	Black Shell	Black Shell				
15	Cape Petal	Black Shell	Wild Crest	Ice Flower Spirit			
15	Cape Petal	Black Shell	Wild Crest	Ice Flower Spirit			
15	Cape Petal	Black Shell	Wild Crest	Ice Flower Spirit			
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Mini Wyvern	Wolf				
15	Cape Petal	Hexagon Turtle	Hexagon Turtle				
15	Cape Petal	Hexagon Turtle	Hexagon Turtle				
15	Cape Petal	Man o' War	Man o' War				
15	Cape Petal	Man o' War	Man o' War				
15	Cape Petal	Man o' War	Man o' War				
15	Cape Petal	Funny Face	Funny Face				
15	Cape Petal	Funny Face	Funny Face				
15	Cape Petal	Funny Face	Funny Face				
15	Cape Petal	Funny Face	Funny Face				
15	Cape Petal	Man o' War	Funny Face	Scare Phantom			
15	Cape Petal	Man o' War	Funny Face	Scare Phantom			
15	Cape Petal	Man o' War	Funny Face	Scare Phantom			
15	Cape Petal	Demon of Betrayal					
15	Cape Petal	Walking Mountain					
15	Cape Petal	Colossal Night Bird					
8	Folmin Mine	Carrier	Carrier				
8	Folmin Mine	Meteorite Doll	Meteorite Doll				
8	Folmin Mine	Rock Puppet	Rock Puppet				
8	Folmin Mine	Red Puppet	Red Puppet				
8	Folmin Mine	Carrier	Meteorite Doll	Carrier			
8	Folmin Mine	Red Puppet	Green Puppet	Red Puppet			
8	Folmin Mine	Meteorite Doll	Meteorite Doll				
8	Folmin Mine	Rock Puppet	Rock Puppet				
8	Folmin Mine	Desert Turtle	Desert Turtle				
8	Folmin Mine	Green Puppet	Green Puppet				
8	Folmin Mine	Red Puppet	Red Puppet				
8	Folmin Mine	Carrier	Meteorite Doll	Carrier			
8	Folmin Mine	Carrier	Carrier				
8	Folmin Mine	Meteorite Doll	Meteorite Doll				
8	Folmin Mine	Rock Puppet	Rock Puppet				
8	Folmin Mine	Scare Phantom	Scare Phantom				
8	Folmin Mine	Funny Face	Carrier	Funny Face			
8	Folmin Mine	Immortal Knight	Funny Face	Immortal Knight			
8	Folmin Mine	Meteorite Doll	Meteorite Doll				
8	Folmin Mine	Rock Puppet	Rock Puppet				
8	Folmin Mine	Immortal Knight	Immortal Knight				
8	Folmin Mine	Funny Face	Funny Face				
8	Folmin Mine	Scare Phantom	Scare Phantom				
8	Folmin Mine	Funny Face	Carrier	Funny Face			
8	Folmin Mine	Cavern's Sentinel					
8	Folmin Mine	Spooky Fear					
8	Folmin Mine	Medusa					
17	Shooting Star Lake	Mighty Hauler					
17	Shooting Star Lake	Desert Lagoon					
17	Shooting Star Lake	Elder Fang	Elder Fang				
17	Shooting Star Lake	Elder Fang	Platinum Flower				
17	Shooting Star Lake	Big Green Puni	Fairystone Puppet				
17	Shooting Star Lake	Fairystone Puppet	Platinum Flower	Platinum Flower			
17	Shooting Star Lake	Fairystone Puppet	Platinum Flower				
17	Shooting Star Lake	Burning Rose	Burning Rose				
17	Shooting Star Lake	Desert Turtle	Desert Turtle				
17	Shooting Star Lake	Burning Rose	Fairystone Puppet	Desert Turtle			
17	Shooting Star Lake	Fairystone Puppet	Fairystone Puppet				
17	Shooting Star Lake	Burning Rose	Big Green Puni				
17	Shooting Star Lake	Burning Rose	Burning Rose				
17	Shooting Star Lake	Elder Fang	Burning Rose				
17	Shooting Star Lake	Burning Rose	Platinum Flower	Elder Fang			
17	Shooting Star Lake	Desert Turtle	Platinum Flower	Platinum Flower			
17	Shooting Star Lake	Big Green Puni	Big Green Puni				
17	Shooting Star Lake	Magical Parasol	Magical Parasol				
17	Shooting Star Lake	Magical Parasol	Devil Horn				
17	Shooting Star Lake	Big Green Puni	Fairystone Puppet				
17	Shooting Star Lake	Fairystone Puppet	Devil Horn	Devil Horn			
17	Shooting Star Lake	Fairystone Puppet	Devil Horn				
17	Shooting Star Lake	Desert Turtle	Deep Phantom	Deep Phantom			
17	Shooting Star Lake	Desert Turtle	Desert Turtle				
17	Shooting Star Lake	Deep Phantom	Fairystone Puppet	Desert Turtle			
17	Shooting Star Lake	Fairystone Puppet	Fairystone Puppet				
17	Shooting Star Lake	Deep Phantom	Big Green Puni				
17	Shooting Star Lake	Deep Phantom	Deep Phantom				
17	Shooting Star Lake	Magical Parasol	Deep Phantom				
17	Shooting Star Lake	Deep Phantom	Devil Horn	Magical Parasol			
17	Shooting Star Lake	Desert Turtle	Devil Horn	Devil Horn			
17	Shooting Star Lake	Big Green Puni	Big Green Puni				
18	Meridie Volcano	Fireflower					
18	Meridie Volcano	Alchemy Pot					
18	Meridie Volcano	Black Reaper					
18	Meridie Volcano	Calamity Crystal Beast					
18	Meridie Volcano	Metal Golem	Prism Shell	Prism Shell			
18	Meridie Volcano	Metal Golem	Metal Golem				
18	Meridie Volcano	Dinosaur	Prism Shell				
18	Meridie Volcano	Draconic Lord	Metal Golem	Metal Golem			
18	Meridie Volcano	Stout Drake	Draconic Lord				
18	Meridie Volcano	Dinosaur	Metal Golem				
18	Meridie Volcano	Stout Drake	Stout Drake				
18	Meridie Volcano	Prism Shell	Prism Shell	Prism Shell			
18	Meridie Volcano	Big Red Puni	Prism Shell				
18	Meridie Volcano	Dinosaur	Big Red Puni				
18	Meridie Volcano	Draconic Lord	Draconic Lord				
18	Meridie Volcano	Metal Golem	Metal Golem				
18	Meridie Volcano	Big Red Puni	Metal Golem	Metal Golem			
18	Meridie Volcano	Dinosaur	Draconic Lord				
18	Meridie Volcano	Metal Golem	Yellow Puppet	Yellow Puppet			
18	Meridie Volcano	Metal Golem	Metal Golem				
18	Meridie Volcano	Dinosaur	Yellow Puppet				
18	Meridie Volcano	Metal Golem	Deep Phantom				
18	Meridie Volcano	Deep Phantom	Devil Horn	Devil Horn			
18	Meridie Volcano	Dinosaur	Metal Golem				
18	Meridie Volcano	Devil Horn	Devil Horn	Devil Horn			
18	Meridie Volcano	Yellow Puppet	Yellow Puppet	Yellow Puppet			
18	Meridie Volcano	Big Red Puni	Yellow Puppet				
18	Meridie Volcano	Big Red Puni	Dinosaur				
18	Meridie Volcano	Deep Phantom	Deep Phantom				
18	Meridie Volcano	Metal Golem	Metal Golem				
18	Meridie Volcano	Big Red Puni	Metal Golem	Metal Golem			
18	Meridie Volcano	Deep Phantom	Dinosaur				
19	Ancient Temple	Phantom Wyrm					
19	Ancient Temple	Leonine Raptor					
19	Ancient Temple	Baleful Spirit Beast					
19	Ancient Temple	Abyssal Tyrant					
19	Ancient Temple	Abyssal Chevalier					
19	Ancient Temple	Deep Phantom	Draconic Lord				
19	Ancient Temple	Draconic Lord	Draconic Lord				
19	Ancient Temple	Elder Fang	Elder Fang				
19	Ancient Temple	Funny Face	Elder Fang				
19	Ancient Temple	Elder Fang	Magician's Hat				
19	Ancient Temple	Magical Parasol	Burning Rose				
19	Ancient Temple	Burning Rose	Burning Rose				
19	Ancient Temple	Dinosaur	Dinosaur				
19	Ancient Temple	Funny Face	Dinosaur				
19	Ancient Temple	Dinosaur	Magician's Hat	Magician's Hat			
19	Ancient Temple	Deep Phantom	Green Puppet	Green Puppet			
19	Ancient Temple	Deep Phantom	Deep Phantom				
20	Skyglow Path	Black Reaper	Black Reaper				
20	Skyglow Path	Black Reaper	Black Reaper				
20	Skyglow Path	Marshorn					
20	Skyglow Path	Albatross	Great Guardian	Albatross			
20	Skyglow Path	Prism Shell	Devil Horn	Prism Shell			
20	Skyglow Path	Dinosaur	Dinosaur	Yellow Puppet			
20	Skyglow Path	Thoth	Thoth	Thoth			
20	Skyglow Path	Marshorn					
20	Skyglow Path	Onyx Griffon					
15	Cape Petal	Colossal Night Bird					
32	Mt. Bone-Eater	Griffon					
16	Lapis Crystal Cave	Cluster Beetle					
9	Baynort Road	Hide Stalker					
9	Baynort Road	Massive Beak					
9	Baynort Road	Jagd Wolf					
8	Folmin Mine	Venomous Threat					
10	Blyde Grasslands	Lara	Geron				
17	Shooting Star Lake	Geron	Lara				
17	Shooting Star Lake	King of Storms					
30	Dripcrystal Cave	Heavy Warrior Armor					
7	Val Mine	Megalogaia					
40	Darklit Tundra	Ancient Phantom					
13	Hill of Prayer	Megalogaia					
3	Forgotten Ruins	Big Puni					
-4294967296							[0, 0]
-1	Evermaze Forest	Puni	Lickshroom	Flower Pixie	Dryad	Giant Weasel	[1, 2]
-1	Evermaze Forest	Puni	Horned Sheep	Forest Jellyfish	Haunt	Ghost	[1, 2]
-1	Evermaze Forest	Green Puni	Spore Dog	Zephyr Pixie	Ice Flower Spirit	Bluefin	[3, 6]
-1	Evermaze Forest	Green Puni	Ashen Wool	Funny Face	Scare Phantom	Forest Jellyfish	[3, 6]
-1	Evermaze Forest	Flower Puni	Spore Dog	Flower Puni	Flower Gardener	Hide Stalker	[7, 10]
-1	Evermaze Forest	Flower Puni	Dreamcatcher	Funny Face	Scare Phantom	Man o' War	[7, 10]
-1	Evermaze Forest	Chaos Blossom	Man o' War	Scare Phantom			[7, 10]
-1	Evermaze Forest	Wandering Pariah					[1, 2]
-1	Evermaze Forest	Elder Fairy					[1, 2]
-1	Evermaze Forest	Wandering Pariah					[3, 6]
-1	Evermaze Forest	Elder Fairy					[3, 6]
-1	Evermaze Forest	Moonlight Pixie					[3, 6]
-1	Evermaze Forest	Elder Fairy					[7, 10]
-1	Evermaze Forest	Moonlight Pixie					[7, 10]
-1	Evermaze Forest	Silver Puni					[1, 2]
-1	Evermaze Forest	Gold Puni					[1, 2]
-1	Evermaze Forest	Silver Puni	Gold Puni				[1, 2]
-1	Evermaze Forest	Silver Puni					[1, 2]
-1	Evermaze Forest	Gold Puni					[1, 2]
-1	Evermaze Forest	Silver Puni	Gold Puni				[1, 2]
-1	Evermaze Forest	Silver Puni					[3, 6]
-1	Evermaze Forest	Gold Puni					[3, 6]
-1	Evermaze Forest	Silver Puni	Gold Puni				[3, 6]
-1	Evermaze Forest	Silver Puni					[3, 6]
-1	Evermaze Forest	Gold Puni					[3, 6]
-1	Evermaze Forest	Silver Puni	Gold Puni				[3, 6]
-1	Evermaze Forest	Silver Puni					[7, 10]
-1	Evermaze Forest	Gold Puni					[7, 10]
-1	Evermaze Forest	Silver Puni	Gold Puni				[7, 10]
-1	Evermaze Forest	Precious Puni					[7, 10]
-1	Evermaze Forest	Shining Puni					[7, 10]
-1	Evermaze Forest	Precious Puni	Shining Puni				[7, 10]
-1	Evermaze Forest	Silver Puni					[7, 10]
-1	Evermaze Forest	Gold Puni					[7, 10]
-1	Evermaze Forest	Silver Puni	Gold Puni				[7, 10]
-1	Evermaze Forest	Precious Puni					[7, 10]
-1	Evermaze Forest	Shining Puni					[7, 10]
-1	Evermaze Forest	Precious Puni	Shining Puni				[7, 10]
-2	Dripcrystal Cave	Green Puni	Stone Golem	Fanged Bat	Spore Dog	Hexagon Turtle	[1, 4]
-2	Dripcrystal Cave	Green Puni	Purple Puppet	Fanged Bat	Forest Jellyfish	Gargoyle	[1, 4]
-2	Dripcrystal Cave	Stone Golem	Meteorite Doll	Bleed, Wings of Calamity	Spore Dog	Black Shell	[5, 8]
-2	Dripcrystal Cave	Stone Golem	Blue Puppet	Bleed, Wings of Calamity	Man o' War	Tricker	[5, 8]
-2	Dripcrystal Cave	Meteorite Doll	Rock Puppet	Large Fang	Magician's Hat	Desert Turtle	[9, 12]
-2	Dripcrystal Cave	Meteorite Doll	Green Puppet	Large Fang	Man o' War	Tricker	[9, 12]
-2	Dripcrystal Cave	Failed Mixture					[1, 4]
-2	Dripcrystal Cave	Rock Golem					[1, 4]
-2	Dripcrystal Cave	Failed Mixture					[5, 8]
