Index	Node0	Node1	Node2	Node3	Node4	RightArrows	DownArrows
9	{'RecipeName': 'Parrying Dagger'}	{'IngredientName': 'Silvalia', 'RecipeName': 'Dragonfang Stiletto'}	{'IngredientName': 'Gold Eisen', 'RecipeName': 'Shadowend'}	{'IngredientName': 'Ōkeagyrn', 'RecipeName': 'Dusk Blade'}	{'IngredientName': 'Iridescence', 'RecipeName': 'Full Hellmoon'}	[True, True, True, True]	[False, False, False, False]
10	{'RecipeName': 'Magic Broom'}	{'IngredientName': 'Silvalia', 'RecipeName': 'Stylish Broom'}	{'IngredientName': 'Gold Eisen', 'RecipeName': 'Enchanted Broom'}	{'IngredientName': 'Ōkeagyrn', 'RecipeName': 'Maiden Broom'}	{'IngredientName': 'Iridescence', 'RecipeName': 'Spirit Broom'}	[True, True, True, True]	[False, False, False, False]
11	"{'RecipeName': ""Alchemist's Staff""}"	{'IngredientName': 'Silvalia', 'RecipeName': 'Spirit Staff'}	"{'IngredientName': 'Gold Eisen', 'RecipeName': ""Philosopher's Staff""}"	"{'IngredientName': 'Ōkeagyrn', 'RecipeName': ""Great Fairy's Staff""}"	{'IngredientName': 'Iridescence', 'RecipeName': 'Holy Winged Staff'}	[True, True, True, True]	[False, False, False, False]
12	{'RecipeName': 'Starting Staff'}	{'IngredientName': 'Silvalia', 'RecipeName': 'Flourish Heart'}	{'IngredientName': 'Gold Eisen', 'RecipeName': 'Wandering Staff'}	{'IngredientName': 'Ōkeagyrn', 'RecipeName': 'Prosper Heart'}	{'IngredientName': 'Iridescence', 'RecipeName': 'Eternal Cycle Staff'}	[True, True, True, True]	[False, False, False, False]
13	"{'RecipeName': ""Traveler's Vest""}"	{'IngredientName': 'Moffcloth', 'RecipeName': 'Yarn Coat'}	{'IngredientName': 'Flügel', 'RecipeName': 'Woodsprite Raiment'}	{'IngredientName': 'Velvetis', 'RecipeName': 'Verdant Dress'}	{'IngredientName': 'Geranóvirgen', 'RecipeName': 'Resurrection Wear'}	[True, True, True, True]	[False, True, True, True]
13				"{'IngredientName': 'Purifying Liquid', 'RecipeName': ""Maiden's Jacket""}"	{'IngredientName': 'Glass Goblet', 'RecipeName': 'White Order', 'AncientRecipe': True}	[False, False, True, True]	[False, True, False, False]
13			{'IngredientName': 'Poison Powder', 'RecipeName': 'Leather'}	{'IngredientName': 'Liquefier', 'RecipeName': 'Tanning Fluid'}		[False, True, True, False]	[False, False, False, False]
14	{'RecipeName': 'Leather Protector'}	{'IngredientName': 'Moffcloth', 'RecipeName': 'Radiant Plate'}	{'IngredientName': 'Flügel', 'RecipeName': 'Scale Armor'}	"{'IngredientName': 'Velvetis', 'RecipeName': ""Commander's Plate""}"	{'IngredientName': 'Geranóvirgen', 'RecipeName': 'Griffon Plate'}	[True, True, True, True]	[True, False, True, False]
14				"{'IngredientName': 'Ingot Beetle', 'RecipeName': ""Warrior's Attire"", 'AncientRecipe': True}"		[False, False, True, False]	[True, False, False, False]
14		{'IngredientName': 'Gaudy Stone', 'RecipeName': 'Holynut Lumber'}	{'IngredientName': 'Gold Ball', 'RecipeName': 'Sperrholz Plywood'}	{'IngredientName': 'Blazing Beehive', 'RecipeName': 'Liquefier'}	{'IngredientName': 'Starlight Axe', 'RecipeName': 'Tool Set'}	[True, True, True, True]	[False, False, True, False]
14				{'UnlockChar': 'Totori', 'IngredientName': 'Langwolke', 'RecipeName': 'Luminous Lance'}	{'UnlockChar': 'Totori', 'IngredientName': 'Snowflake Crystal', 'RecipeName': 'Lumiere Potpourri'}	[False, False, True, True]	[False, False, False, False]
15	{'RecipeName': 'Cloth'}	{'IngredientName': 'Alchemy Fibers', 'RecipeName': 'Moffcloth'}	{'IngredientName': 'Heavenly String', 'RecipeName': 'Flügel'}	{'IngredientName': 'Strong Alchemy Fibers', 'RecipeName': 'Velvetis'}	{'IngredientName': 'Vajra Wire', 'RecipeName': 'Geranóvirgen', 'AncientRecipe': True}	[True, True, True, True]	[True, False, False, False]
15		{'IngredientName': 'Silver Web', 'RecipeName': 'Alchemy Fibers'}	{'IngredientName': 'Mine Ant', 'RecipeName': 'Golden Thread'}	{'IngredientName': 'Whitefly', 'RecipeName': 'Strong Alchemy Fibers'}		[True, True, True, False]	[False, True, True, False]
15				{'IngredientName': 'Typhon Keim', 'RecipeName': 'Heavenly String'}		[False, False, True, False]	[False, True, False, False]
15			{'IngredientName': 'Golden Thread', 'RecipeName': 'Stretchy Band'}	{'IngredientName': 'Sperrholz Plywood', 'RecipeName': 'Klavier Band'}	{'IngredientName': 'Strong Alchemy Fibers', 'RecipeName': 'Vajra Wire'}	[False, True, True, True]	[False, False, False, False]
16	{'RecipeName': 'Bunny Tail'}	{'IngredientName': 'Blue Puniball', 'RecipeName': 'Blue Puni Charm'}	{'IngredientName': 'Baby Menace', 'RecipeName': 'Training Charm'}	{'IngredientName': 'Everlasting Saft', 'RecipeName': 'Hallfein Pendant'}		[True, True, True, False]	[True, True, False, False]
16			"{'IngredientName': 'Mine Ant', 'RecipeName': ""Victor's Charm""}"	{'IngredientName': 'Elder Garlic', 'RecipeName': 'Vitality Charm'}		[False, True, True, False]	[True, False, False, False]
16		"{'IngredientName': 'Cloth', 'RecipeName': ""Traveler's Shoes""}"	{'IngredientName': 'Beast Shell', 'RecipeName': 'Assault Bangle'}			[True, True, False, False]	[False, True, False, False]
16			{'IngredientName': 'Giant Bird Feather', 'RecipeName': 'Godspeed Boots'}	{'IngredientName': 'Fine Pelt', 'RecipeName': 'Snow Boots'}	"{'IngredientName': 'Mythical Hide', 'RecipeName': ""Spirit Beast's Tail""}"	[False, True, True, True]	[False, False, False, False]
17	{'RecipeName': 'Monochrome Glasses'}	{'IngredientName': 'Blessed Feather', 'RecipeName': 'Feather Pin', 'AncientRecipe': True}	{'IngredientName': 'Mana Petal', 'RecipeName': 'Angel Ribbon'}	{'IngredientName': 'Heavenly String', 'RecipeName': 'Phantom Scarf', 'AncientRecipe': True}	{'IngredientName': 'Geranóvirgen', 'RecipeName': 'Spirit Belt'}	[True, True, True, True]	[False, False, True, False]
17				{'IngredientName': 'Celestial Silver Stone', 'RecipeName': 'Lanterna Earrings'}		[False, False, True, False]	[False, False, False, False]
18	{'RecipeName': 'Zettel'}	{'IngredientName': 'Gold Steel Web', 'RecipeName': 'Reinforced Zettel'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Forbidden Grimoire', 'RecipeName': 'Book of Hades'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Rainbow Neutralizer', 'RecipeName': 'Codex of Creation'}		[True, True, True, False]	[True, False, True, False]
18				{'UnlockChar': 'Sophie', 'IngredientName': 'Sublime Dome', 'RecipeName': 'Decorated Spellbook'}		[False, False, True, False]	[True, False, False, False]
18		"{'IngredientName': ""Devil's Soul"", 'RecipeName': 'Ancient Scroll', 'AncientRecipe': True}"	{'IngredientName': 'Tanning Fluid', 'RecipeName': 'Worn Out Circle', 'AncientRecipe': True}			[True, True, False, False]	[False, False, False, False]
19	{'RecipeName': 'Pure Water'}	{'IngredientName': 'Groundwater', 'RecipeName': 'Spirit Tears'}	{'IngredientName': 'Mana Petal', 'RecipeName': 'Mana Light'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Asterisíma', 'RecipeName': 'Black Agujero'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Red Hot Crystal', 'RecipeName': 'Alles Welt'}	[True, True, True, True]	[True, True, False, True]
19			"{'IngredientName': 'Giant Bird Feather', 'RecipeName': ""Undine's Sigh""}"	{'IngredientName': 'Lanterna Shell', 'RecipeName': 'Bluten Veil'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Alles Welt', 'RecipeName': 'Flame of Origin'}	[False, True, True, True]	[True, False, False, False]
19		{'IngredientName': 'Medicinal Moss', 'RecipeName': 'Plant Food'}	{'IngredientName': 'Esplante', 'RecipeName': 'Dark Water'}	"{'IngredientName': 'Poison Cube', 'RecipeName': ""Imp's Mischief""}"		[True, True, True, False]	[False, False, True, False]
19				{'IngredientName': 'Fatal Nebula', 'RecipeName': 'Great Gift'}		[False, False, True, False]	[False, False, False, False]
20	{'RecipeName': 'Red Neutralizer'}	{'IngredientName': 'Blue Crystal', 'RecipeName': 'Blue Neutralizer'}	{'IngredientName': 'Sand Crystals', 'RecipeName': 'Yellow Neutralizer'}			[True, True, False, False]	[True, False, False, False]
20		{'IngredientName': 'Plant Essence', 'RecipeName': 'Green Neutralizer'}	{'IngredientName': 'Ingot Bug', 'RecipeName': 'Purple Neutralizer'}	{'IngredientName': 'Ingot Beetle', 'RecipeName': 'Rainbow Neutralizer'}		[True, True, True, False]	[False, False, False, False]
21	"{'RecipeName': ""Woodcutter's Axe""}"	{'IngredientName': 'Goldinite', 'RecipeName': 'Gold Axe'}	{'IngredientName': 'Tíkometal', 'RecipeName': 'Starlight Axe'}			[True, True, False, False]	[False, False, False, False]
22	{'RecipeName': 'Grass Sickle\u200b'}	{'IngredientName': 'Rusted Sword', 'RecipeName': 'Golden Sickle'}	{'IngredientName': 'Ancient Sword', 'RecipeName': 'Luminous Sickle'}			[True, True, False, False]	[False, False, False, False]
23	{'RecipeName': 'Bug Net'}	{'IngredientName': 'Gold Steel Web', 'RecipeName': 'Gold Bug Net'}	{'IngredientName': 'Strong Alchemy Fibers', 'RecipeName': 'Moonlight Bug Net'}			[True, True, False, False]	[False, False, False, False]
